,postal_code,cities_es/province
144,02004,albacete/albacete
145,02003,albacete/albacete
146,02001,albacete/albacete
147,02002,albacete/albacete
148,02049,albacete/albacete
149,02653,albatana/albacete
150,02215,alborea/albacete
152,02124,alcadozo/albacete
153,02252,alcala_del_jucar/albacete
154,02210,alcala_del_jucar/albacete
155,02211,alcala_del_jucar/albacete
156,02214,alcala_del_jucar/albacete
158,02314,alcaraz/albacete
159,02312,alcaraz/albacete
160,02300,alcaraz/albacete
161,02640,almansa/albacete
162,02690,alpera/albacete
164,02125,ayna/albacete
166,02139,ayna/albacete
168,02320,balazote/albacete
169,02213,balsa_de_ves/albacete
171,02614,el_ballestero/albacete
172,02639,barrax/albacete
173,02360,bienservida/albacete
174,02130,bogarra/albacete
177,02448,bogarra/albacete
178,02691,bonete/albacete
180,02610,el_bonillo/albacete
181,02153,carcelen/albacete
182,02151,casas_de_juan_nunez/albacete
183,02329,casas_de_lazaro/albacete
184,02212,casas_de_ves/albacete
185,02200,casas_ibanez/albacete
186,02660,caudete/albacete
187,02247,cenizate/albacete
188,02693,corral_rubio/albacete
189,02461,cotillas/albacete
190,02510,chinchilla_de_monte_aragon/albacete
191,02695,chinchilla_de_monte_aragon/albacete
192,02692,chinchilla_de_monte_aragon/albacete
193,02520,chinchilla_de_monte_aragon/albacete
194,02156,chinchilla_de_monte_aragon/albacete
196,02430,elche_de_la_sierra/albacete
197,02439,elche_de_la_sierra/albacete
198,02449,elche_de_la_sierra/albacete
200,02436,ferez/albacete
201,02637,fuensanta/albacete
202,02651,fuente_alamo/albacete
203,02249,fuentealbilla/albacete
204,02260,fuentealbilla/albacete
205,02251,fuentealbilla/albacete
206,02110,la_gineta/albacete
207,02253,golosalvo/albacete
208,02400,hellin/albacete
209,02409,hellin/albacete
210,02420,hellin/albacete
211,02490,hellin/albacete
213,02499,hellin/albacete
214,02162,la_herrera/albacete
216,02694,higueruela/albacete
217,02696,hoya_gonzalo/albacete
218,02248,jorquera/albacete
220,02434,letur/albacete
221,02160,lezuza/albacete
222,02161,lezuza/albacete
224,02142,lietor/albacete
225,02410,lietor/albacete
226,02230,madrigueras/albacete
227,02240,mahora/albacete
229,02620,minaya/albacete
232,02440,molinicos/albacete
233,02638,montalvos/albacete
234,02650,montealegre_del_castillo/albacete
235,02220,motilleja/albacete
236,02612,munera/albacete
237,02246,navas_de_jorquera/albacete
238,02536,nerpio/albacete
242,02534,nerpio/albacete
243,02530,nerpio/albacete
245,02652,ontur/albacete
246,02611,ossa_de_montiel/albacete
247,02136,paterna_del_madera/albacete
248,02137,paterna_del_madera/albacete
250,02459,paterna_del_madera/albacete
252,02313,penascosa/albacete
254,02120,penas_de_san_pedro/albacete
256,02127,penas_de_san_pedro/albacete
258,02311,povedilla/albacete
259,02129,pozohondo/albacete
260,02141,pozohondo/albacete
262,02154,pozo_lorente/albacete
263,02327,pozuelo/albacete
266,02462,riopar/albacete
267,02450,riopar/albacete
269,02340,robledo/albacete
271,02630,la_roda/albacete
273,02316,salobre/albacete
274,02326,san_pedro/albacete
275,02435,socovos/albacete
276,02437,socovos/albacete
277,02100,tarazona_de_la_mancha/albacete
279,02500,tobarra/albacete
281,02513,tobarra/albacete
282,02150,valdeganga/albacete
283,02315,vianos/albacete
285,02636,villalgordo_del_jucar/albacete
286,02270,villamalea/albacete
287,02350,villapalacios/albacete
288,02600,villarrobledo/albacete
292,02460,villaverde_de_guadalimar/albacete
294,02310,viveros/albacete
295,02480,yeste/albacete
297,02484,yeste/albacete
298,02485,yeste/albacete
299,02486,yeste/albacete
300,02487,yeste/albacete
302,02489,yeste/albacete
305,03786,l'atzubia/alicante
306,03698,agost/alicante
307,03837,agres/alicante
308,03569,aigues/alicante
309,03340,albatera/alicante
310,03723,alcalali/alicante
311,03728,alcalali/alicante
312,03841,alcocer_de_planes/alicante
313,03814,alcoleja/alicante
315,03804,alcoi/alicante
316,03803,alcoi/alicante
317,03802,alcoi/alicante
318,03800,alcoi/alicante
319,03801,alcoi/alicante
320,03838,alfafara/alicante
321,03580,l'alfas_del_pi/alicante
322,03581,l'alfas_del_pi/alicante
323,03169,algorfa/alicante
324,03668,alguena/alicante
325,03138,alicante/alicante
326,03015,alicante/alicante
327,03016,alicante/alicante
328,03112,alicante/alicante
329,03113,alicante/alicante
330,03006,alicante/alicante
331,03115,alicante/alicante
332,03409,alicante/alicante
333,03540,alicante/alicante
334,03559,alicante/alicante
335,03699,alicante/alicante
336,03014,alicante/alicante
337,03114,alicante/alicante
338,03004,alicante/alicante
339,03001,alicante/alicante
340,03008,alicante/alicante
341,03003,alicante/alicante
342,03013,alicante/alicante
343,03005,alicante/alicante
344,03007,alicante/alicante
345,03009,alicante/alicante
346,03010,alicante/alicante
347,03011,alicante/alicante
348,03012,alicante/alicante
349,03002,alicante/alicante
350,03160,almoradi/alicante
351,03179,almoradi/alicante
352,03827,almudaina/alicante
353,03829,l'alqueria_d'asnar/alicante
354,03590,altea/alicante
355,03599,altea/alicante
356,03680,aspe/alicante
357,03812,balones/alicante
358,03450,banyeres_de_mariola/alicante
360,03460,beneixama/alicante
361,03469,beneixama/alicante
362,03390,benejuzar/alicante
363,03316,benferri/alicante
364,03778,beniarbeig/alicante
365,03517,beniarda/alicante
366,03850,beniarres/alicante
367,03794,benigembla/alicante
368,03759,benidoleig/alicante
369,03501,benidorm/alicante
370,03502,benidorm/alicante
371,03503,benidorm/alicante
372,03816,benifallim/alicante
374,03178,benijofar/alicante
375,03810,benilloba/alicante
377,03516,benimantell/alicante
380,03769,benimeli/alicante
381,03720,benissa/alicante
382,03726,benitachell/alicante
383,03410,biar/alicante
384,03380,bigastro/alicante
385,03518,bolulla/alicante
386,03111,busot/alicante
387,03710,calp/alicante
388,03510,callosa_d'en_sarria/alicante
389,03317,callosa_de_segura/alicante
390,03360,callosa_de_segura/alicante
391,03560,el_campello/alicante
394,03420,castalla/alicante
395,03793,castell_de_castells/alicante
396,03158,catral/alicante
398,03820,cocentaina/alicante
400,03350,cox/alicante
402,03330,crevillent/alicante
403,03339,crevillent/alicante
404,03811,quatretondeta/alicante
405,03159,daya_nueva/alicante
406,03177,daya_vieja/alicante
407,03709,denia/alicante
408,03780,denia/alicante
409,03770,denia/alicante
410,03700,denia/alicante
411,03749,denia/alicante
412,03150,dolores/alicante
413,03205,elche/alicante
414,03320,elx/alicante
415,03296,elche/alicante
416,03295,elche/alicante
417,03294,elche/alicante
418,03293,elche/alicante
419,03292,elche/alicante
420,03291,elche/alicante
421,03290,elche/alicante
422,03208,elche/alicante
423,03206,elche/alicante
424,03204,elche/alicante
425,03203,elche/alicante
426,03202,elche/alicante
427,03201,elche/alicante
428,03195,elche/alicante
429,03194,elche/alicante
430,03139,elche/alicante
431,03207,elche/alicante
432,03600,elda/alicante
433,03813,facheca/alicante
435,03509,finestrat/alicante
438,03740,gata_de_gorgos/alicante
439,03840,gaianes/alicante
441,03348,granja_de_rocamora/alicante
443,03140,guardamar_del_segura/alicante
444,03688,hondon_de_las_nieves/alicante
445,03689,hondon_de_las_nieves/alicante
447,03440,ibi/alicante
448,03310,jacarilla/alicante
449,03727,xalo/alicante
450,03730,javea/alicante
451,03737,javea/alicante
452,03738,javea/alicante
453,03739,javea/alicante
454,03100,jijona/alicante
455,03860,lorcha/alicante
456,03729,lliber/alicante
458,03679,monforte_del_cid/alicante
459,03670,monforte_del_cid/alicante
460,03640,monovar/alicante
461,03649,monovar/alicante
462,03110,mutxamel/alicante
463,03792,murla/alicante
464,03830,muro_de_alcoy/alicante
465,03839,muro_de_alcoy/alicante
466,03660,novelda/alicante
467,03530,la_nucia/alicante
468,03760,ondara/alicante
469,03430,onil/alicante
470,03795,orba/alicante
472,03790,orba/alicante
473,03791,orba/alicante
474,03579,orxeta/alicante
475,03312,orihuela/alicante
476,03315,orihuela/alicante
479,03314,orihuela/alicante
480,03313,orihuela/alicante
482,03300,orihuela/alicante
484,03191,orihuela/alicante
485,03189,orihuela/alicante
486,03369,orihuela/alicante
487,03311,orihuela/alicante
489,03750,pedreguer/alicante
491,03815,penaguila/alicante
492,03610,petrer/alicante
493,03658,pinoso/alicante
494,03659,pinoso/alicante
495,03650,pinoso/alicante
496,03657,pinoso/murcia
497,03828,planes/alicante
498,03520,polop/alicante
501,03370,redovan/alicante
502,03578,relleu/alicante
503,03170,rojales/alicante
504,03669,la_romana/alicante
507,03638,salinas/alicante
511,03550,sant_joan_d'alacant/alicante
512,03193,san_miguel_de_salinas/alicante
513,03130,santa_pola/alicante
514,03690,san_vicente_del_raspeig/alicante
515,03630,sax/alicante
519,03724,teulada/alicante
520,03725,teulada/alicante
521,03109,tibi/alicante
524,03108,la_torre_de_les_macanes/alicante
525,03180,torrevieja/alicante
526,03181,torrevieja/alicante
527,03182,torrevieja/alicante
528,03183,torrevieja/alicante
529,03184,torrevieja/alicante
530,03185,torrevieja/alicante
531,03186,torrevieja/alicante
532,03188,torrevieja/alicante
533,03788,la_vall_d'alcala/alicante
534,03789,la_vall_d'ebo/alicante
535,03787,vall_de_gallinera/alicante
539,03570,villajoyosa/alicante
540,03400,villena/alicante
541,03408,villena/alicante
543,03639,villena/alicante
544,03779,els_poblets/alicante
545,03190,pilar_de_la_horadada/alicante
547,03187,los_montesinos/alicante
548,03349,san_isidro/alicante
549,04510,abla/almeria
550,04533,abrucena/almeria
551,04520,abrucena/almeria
552,04770,adra/almeria
553,04778,adra/almeria
554,04779,adra/almeria
555,04857,albanchez/almeria
556,04858,albanchez/almeria
557,04531,alboloduy/almeria
558,04558,alboloduy/almeria
559,04800,albox/almeria
560,04814,albox/almeria
561,04812,albox/almeria
562,04600,albox/almeria
563,04813,albox/almeria
564,04692,albox/almeria
565,04480,alcolea/almeria
566,04768,alcolea/almeria
567,04897,alcontar/almeria
568,04898,alcontar/almeria
569,04276,alcudia_de_monteagud/almeria
570,04567,alhabia/almeria
571,04400,alhama_de_almeria/almeria
572,04409,alicun/almeria
573,04009,almeria/almeria
574,04160,almeria/almeria
575,04150,almeria/almeria
576,04131,almeria/almeria
577,04002,almeria/almeria
578,04130,almeria/almeria
579,04120,almeria/almeria
580,04008,almeria/almeria
581,04007,almeria/almeria
582,04006,almeria/almeria
583,04005,almeria/almeria
584,04003,almeria/almeria
585,04001,almeria/almeria
586,04004,almeria/almeria
587,04458,almocita/almeria
588,04568,alsodux/almeria
589,04628,antas/almeria
590,04629,antas/almeria
591,04660,arboleas/almeria
592,04888,armuna_de_almanzora/almeria
593,04889,bacares/almeria
594,04479,bayarcal/almeria
597,04288,bedar/almeria
598,04289,bedar/almeria
600,04410,benahadux/almeria
603,04274,benizalon/almeria
604,04569,bentarique/almeria
605,04713,berja/almeria
606,04760,berja/almeria
608,04769,berja/almeria
609,04450,canjayar/almeria
610,04815,cantoria/almeria
611,04850,cantoria/almeria
613,04140,carboneras/almeria
614,04149,carboneras/almeria
615,04212,castro_de_filabres/almeria
616,04859,cobdar/almeria
617,04610,cuevas_del_almanzora/almeria
618,04616,cuevas_del_almanzora/almeria
619,04617,cuevas_del_almanzora/almeria
620,04618,cuevas_del_almanzora/almeria
621,04619,cuevas_del_almanzora/almeria
622,04647,cuevas_del_almanzora/almeria
623,04648,cuevas_del_almanzora/almeria
625,04825,chirivel/almeria
626,04750,dalias/almeria
627,04729,enix/almeria
628,04728,felix/almeria
629,04869,fines/almeria
630,04500,finana/almeria
631,04460,fondon/almeria
633,04560,gador/almeria
634,04280,los_gallardos/almeria
637,04630,garrucha/almeria
639,04550,gergal/almeria
640,04549,gergal/almeria
641,04559,gergal/almeria
643,04230,huercal_de_almeria/almeria
645,04662,huercal_overa/almeria
646,04690,huercal_overa/almeria
647,04691,huercal_overa/almeria
649,04693,huercal_overa/almeria
650,04694,huercal_overa/almeria
652,04431,illar/almeria
653,04430,instincion/almeria
654,04868,laroya/almeria
655,04470,laujar_de_andarax/almeria
657,04271,lubrin/almeria
658,04114,lucainena_de_las_torres/almeria
659,04210,lucainena_de_las_torres/almeria
660,04211,lucainena_de_las_torres/almeria
661,04877,lucar/almeria
662,04887,lucar/almeria
663,04867,macael/almeria
664,04838,maria/almeria
665,04839,maria/almeria
666,04638,mojacar/almeria
667,04639,mojacar/almeria
668,04540,nacimiento/almeria
670,04151,nijar/almeria
672,04119,nijar/almeria
673,04118,nijar/almeria
674,04117,nijar/almeria
675,04115,nijar/almeria
677,04113,nijar/almeria
679,04110,nijar/almeria
680,04100,nijar/almeria
681,04116,nijar/almeria
682,04459,ohanes/almeria
684,04860,olula_del_rio/almeria
685,04810,oria/almeria
686,04811,oria/almeria
688,04899,oria/almeria
689,04640,oria/almeria
694,04250,pechina/almeria
695,04259,pechina/almeria
699,04649,pulpi/almeria
700,04870,purchena/almeria
701,04440,ragol/almeria
702,04260,rioja/almeria
703,04741,roquetas_de_mar/almeria
704,04743,roquetas_de_mar/almeria
705,04740,roquetas_de_mar/almeria
706,04720,roquetas_de_mar/almeria
708,04420,santa_fe_de_mondujar/almeria
709,04213,senes/almeria
710,04890,seron/almeria
714,04878,sierro/almeria
716,04277,sorbas/almeria
717,04279,sorbas/almeria
719,04278,sorbas/almeria
720,04270,sorbas/almeria
725,04200,tabernas/almeria
727,04661,taberno/almeria
729,04275,tahal/almeria
733,04880,tijola/almeria
741,04879,urracal/almeria
743,04829,velez_blanco/almeria
745,04830,velez_blanco/almeria
746,04820,velez_rubio/almeria
747,04826,velez_rubio/almeria
748,04827,velez_rubio/almeria
749,04828,velez_rubio/almeria
751,04620,vera/almeria
752,04240,viator/almeria
753,04727,vicar/almeria
754,04738,vicar/almeria
755,04650,zurgena/almeria
758,04530,las_tres_villas/almeria
759,04532,las_tres_villas/almeria
760,04700,el_ejido/almeria
761,04710,el_ejido/almeria
762,04711,el_ejido/almeria
763,04712,el_ejido/almeria
764,04715,el_ejido/almeria
765,04716,el_ejido/almeria
766,04745,la_mojonera/almeria
767,04746,la_mojonera/almeria
768,05296,adanero/avila
769,05430,la_adrada/avila
770,05358,albornos/avila
771,05580,aldeanueva_de_santa_cruz/avila
772,05212,aldeaseca/avila
773,05593,la_aldehuela/avila
774,05560,amavida/avila
775,05416,el_arenal/avila
776,05400,arenas_de_san_pedro/avila
777,05418,arenas_de_san_pedro/avila
778,05153,arevalillo/avila
779,05200,arevalo/avila
781,05357,aveinte/avila
783,05001,avila/avila
784,05002,avila/avila
785,05003,avila/avila
786,05004,avila/avila
787,05005,avila/avila
788,05160,avila/avila
789,05194,avila/avila
790,05195,avila/avila
791,05197,avila/avila
792,05600,el_barco_de_avila/avila
793,05110,el_barraco/avila
794,05278,el_barraco/avila
795,05229,barroman/avila
796,05610,becedas/avila
797,05694,becedas/avila
800,05162,las_berlanas/avila
801,05211,bernuy_zapardiel/avila
803,05146,blascomillan/avila
804,05380,blascomillan/avila
805,05299,blasconuno_de_matacabras/avila
806,05290,blascosancho/avila
807,05165,el_bohodon/avila
808,05630,bohoyo/avila
809,05690,bohoyo/avila
810,05514,bonilla_de_la_sierra/avila
813,05140,bularros/avila
815,05113,burgohondo/avila
817,05217,cabezas_de_alambre/avila
819,05148,cabezas_del_villar/avila
823,05480,candeleda/avila
824,05489,candeleda/avila
826,05320,cardenosa/avila
827,05620,la_carrera/avila
828,05571,casas_del_puerto/avila
830,05450,casavieja/avila
831,05428,casillas/avila
832,05429,casillas/avila
834,05260,cebreros/avila
835,05132,cepeda_la_mora/avila
836,05149,cillan/avila
838,05192,la_colilla/avila
839,05309,collado_de_contreras/avila
843,05300,crespos/avila
844,05414,cuevas_del_valle/avila
845,05141,chamartin/avila
847,05215,donvidas/avila
849,05370,flores_de_avila/avila
850,05310,fontiveros/avila
851,05427,fresnedilla/avila
856,05147,gallegos_de_sobrinos/avila
857,05134,garganta_del_villar/avila
859,05460,gavilanes/avila
861,05619,gilbuena/avila
862,05693,gil_garcia/avila
864,05163,gotarrendura/avila
866,05417,guisando/avila
868,05164,hernansancho/avila
869,05196,herradon_de_pinares/avila
870,05294,herradon_de_pinares/avila
871,05268,herradon_de_pinares/avila
874,05131,la_hija_de_dios/avila
875,05695,la_horcajada/avila
876,05696,la_horcajada/avila
877,05210,horcajo_de_las_torres/avila
878,05415,el_hornillo/avila
879,05123,hoyocasero/avila
880,05250,el_hoyo_de_pinares/avila
881,05516,hoyorredondo/avila
882,05634,hoyos_del_collado/avila
888,05213,langa/avila
889,05490,lanzahita/avila
890,05692,el_losar_del_barco/avila
892,05220,madrigal_de_las_altas_torres/avila
893,05291,maello/avila
895,05298,mamblas/avila
897,05145,manjabalago_y_ortigosa_de_rioalmar/avila
900,05151,martinez/avila
901,05152,martinez/avila
906,05461,mijares/avila
908,05280,mingorria/avila
909,05154,el_miron/avila
911,05191,mironcillo/avila
913,05410,mombeltran/avila
914,05491,mombeltran/avila
917,05540,munana/avila
919,05530,munogalindo/avila
932,05216,nava_de_arevalo/avila
933,05697,nava_del_barco/avila
938,05120,navalmoral/avila
941,05240,navalperal_de_pinares/avila
942,05631,navalperal_de_tormes/avila
944,05100,navaluenga/avila
945,05122,navaquesera/avila
946,05635,navarredonda_de_gredos/avila
948,05115,navarrevisca/avila
949,05230,las_navas_del_marques/avila
950,05239,las_navas_del_marques/avila
955,05193,ojos_albos/avila
958,05520,padiernos/avila
959,05292,pajares_de_adaja/avila
963,05150,pascualcobo/avila
964,05470,pedro_bernardo/avila
968,05500,piedrahita/avila
969,05515,piedrahita/avila
971,05440,piedralaves/avila
973,05492,poyales_del_hoyo/avila
976,05621,puerto_castilla/avila
980,05190,riofrio/avila
986,05267,san_bartolome_de_pinares/avila
989,05289,san_esteban_de_los_patos/avila
990,05412,san_esteban_del_valle/avila
995,05111,san_juan_de_la_nava/avila
999,05133,san_martin_de_la_vega_del_alberche/avila
1004,05350,san_pedro_del_arroyo/avila
1005,05413,santa_cruz_del_valle/avila
1009,05510,santa_maria_del_berrocal/avila
1013,05592,santiago_del_collado/avila
1023,05691,solana_de_avila/avila
1025,05130,solosancho/avila
1026,05198,sotalbo/avila
1027,05420,sotillo_de_la_adrada/avila
1029,05270,el_tiemblo/avila
1031,05279,el_tiemblo/avila
1042,05143,valdecasa/avila
1049,05591,villanueva_del_campillo/avila
1058,05633,san_juan_de_gredos/avila
1062,05114,villanueva_de_avila/avila
1063,06713,acedera/badajoz
1064,06730,acedera/badajoz
1065,06207,aceuchal/badajoz
1066,06410,aceuchal/badajoz
1067,06940,ahillones/badajoz
1068,06840,alange/badajoz
1069,06170,la_albuera/badajoz
1070,06510,alburquerque/badajoz
1071,06519,alburquerque/badajoz
1072,06131,alconchel/badajoz
1073,06393,alconera/badajoz
1074,06894,aljucen/badajoz
1075,06171,almendral/badajoz
1076,06200,almendralejo/badajoz
1077,06850,arroyo_de_san_servan/badajoz
1078,06329,atalaya/badajoz
1079,06920,azuaga/badajoz
1080,06929,azuaga/badajoz
1082,06180,badajoz/badajoz
1083,06181,badajoz/badajoz
1084,06182,badajoz/badajoz
1085,06183,badajoz/badajoz
1086,06011,badajoz/badajoz
1087,06195,badajoz/badajoz
1088,06194,badajoz/badajoz
1089,06193,badajoz/badajoz
1090,06003,badajoz/badajoz
1091,06010,badajoz/badajoz
1092,06002,badajoz/badajoz
1093,06004,badajoz/badajoz
1094,06005,badajoz/badajoz
1095,06006,badajoz/badajoz
1096,06007,badajoz/badajoz
1097,06008,badajoz/badajoz
1098,06009,badajoz/badajoz
1099,06001,badajoz/badajoz
1100,06160,barcarrota/badajoz
1101,06659,baterno/badajoz
1102,06428,benquerencia_de_la_serena/badajoz
1103,06429,benquerencia_de_la_serena/badajoz
1104,06613,benquerencia_de_la_serena/badajoz
1105,06615,benquerencia_de_la_serena/badajoz
1106,06930,berlanga/badajoz
1107,06250,bienvenida/badajoz
1108,06394,bodonal_de_la_sierra/badajoz
1109,06370,burguillos_del_cerro/badajoz
1110,06600,cabeza_del_buey/badajoz
1111,06614,cabeza_del_buey/badajoz
1112,06293,cabeza_la_vaca/badajoz
1113,06810,calamonte/badajoz
1114,06292,calera_de_leon/badajoz
1115,06249,calzadilla_de_los_barros/badajoz
1116,06459,campanario/badajoz
1117,06460,campanario/badajoz
1118,06443,campillo_de_llerena/badajoz
1119,06612,capilla/badajoz
1121,06488,carmonita/badajoz
1123,06770,casas_de_don_pedro/badajoz
1124,06960,casas_de_reina/badajoz
1125,06680,castilblanco/badajoz
1126,06420,castuera/badajoz
1127,06518,la_codosera/badajoz
1128,06487,cordobilla_de_lacara/badajoz
1129,06469,la_coronada/badajoz
1130,06196,corte_de_peleas/badajoz
1131,06479,cristina/badajoz
1132,06105,cheles/badajoz
1133,06820,don_alvaro/badajoz
1134,06412,don_benito/badajoz
1135,06711,don_benito/badajoz
1137,06400,don_benito/badajoz
1138,06717,don_benito/badajoz
1139,06197,entrin_bajo/badajoz
1140,06860,esparragalejo/badajoz
1141,06439,esparragosa_de_la_serena/badajoz
1142,06620,esparragosa_de_lares/badajoz
1143,06390,feria/badajoz
1144,06340,fregenal_de_la_sierra/badajoz
1145,06660,fuenlabrada_de_los_montes/badajoz
1146,06240,fuente_de_cantos/badajoz
1147,06980,fuente_del_arco/badajoz
1148,06360,fuente_del_maestre/badajoz
1149,06280,fuentes_de_leon/badajoz
1150,06690,garbayuela/badajoz
1151,06656,garlitos/badajoz
1152,06870,la_garrovilla/badajoz
1153,06910,granja_de_torrehermosa/badajoz
1155,06470,guarena/badajoz
1156,06174,la_haba/badajoz
1157,06714,la_haba/badajoz
1158,06692,helechosa_de_los_montes/badajoz
1159,06670,herrera_del_duque/badajoz
1160,06679,herrera_del_duque/badajoz
1161,06441,higuera_de_la_serena/badajoz
1162,06445,higuera_de_llerena/badajoz
1163,06132,higuera_de_vargas/badajoz
1164,06350,higuera_la_real/badajoz
1165,06226,hinojosa_del_valle/badajoz
1166,06228,hornachos/badajoz
1167,06380,jerez_de_los_caballeros/badajoz
1168,06389,jerez_de_los_caballeros/badajoz
1169,06391,la_lapa/badajoz
1170,06187,lobon/badajoz
1171,06498,lobon/badajoz
1172,06227,llera/badajoz
1173,06900,llerena/badajoz
1174,06468,magacela/badajoz
1175,06939,maguilla/badajoz
1176,06928,malcocinado/badajoz
1177,06440,malpartida_de_la_serena/badajoz
1178,06478,manchita/badajoz
1179,06411,medellin/badajoz
1180,06320,medina_de_las_torres/badajoz
1181,06413,mengabril/badajoz
1182,06800,merida/badajoz
1183,06891,mirandilla/badajoz
1184,06260,monesterio/badajoz
1185,06291,montemolin/badajoz
1186,06907,montemolin/badajoz
1187,06908,montemolin/badajoz
1188,06427,monterrubio_de_la_serena/badajoz
1189,06499,montijo/badajoz
1190,06480,montijo/badajoz
1191,06489,montijo/badajoz
1192,06176,la_morera/badajoz
1193,06486,la_nava_de_santiago/badajoz
1195,06731,navalvillar_de_pela/badajoz
1196,06760,navalvillar_de_pela/badajoz
1197,06173,nogales/badajoz
1198,06120,oliva_de_la_frontera/badajoz
1199,06475,oliva_de_merida/badajoz
1200,06106,olivenza/badajoz
1201,06109,olivenza/badajoz
1202,06100,olivenza/badajoz
1203,06108,olivenza/badajoz
1204,06107,olivenza/badajoz
1205,06750,orellana_de_la_sierra/badajoz
1206,06740,orellana_la_vieja/badajoz
1207,06476,palomas/badajoz
1209,06610,penalsordo/badajoz
1210,06919,peraleda_del_zaucejo/badajoz
1211,06630,puebla_de_alcocer/badajoz
1212,06490,puebla_de_la_calzada/badajoz
1213,06477,puebla_de_la_reina/badajoz
1214,06906,puebla_del_maestre/badajoz
1215,06229,puebla_del_prior/badajoz
1216,06191,puebla_de_obando/badajoz
1217,06310,puebla_de_sancho_perez/badajoz
1218,06392,puebla_de_sancho_perez/badajoz
1219,06450,quintana_de_la_serena/badajoz
1220,06970,reina/badajoz
1221,06715,rena/badajoz
1222,06442,retamal_de_llerena/badajoz
1223,06225,ribera_del_fresno/badajoz
1224,06657,risco/badajoz
1225,06190,la_roca_de_la_sierra/badajoz
1227,06175,salvatierra_de_los_barros/badajoz
1228,06893,san_pedro_de_merida/badajoz
1230,06150,santa_marta/badajoz
1231,06230,los_santos_de_maimona/badajoz
1232,06500,san_vicente_de_alcantara/badajoz
1233,06270,segura_de_leon/badajoz
1234,06650,siruela/badajoz
1237,06209,solana_de_los_barros/badajoz
1238,06640,talarrubias/badajoz
1239,06140,talavera_la_real/badajoz
1240,06133,taliga/badajoz
1241,06658,tamurejo/badajoz
1242,06172,torre_de_miguel_sesmero/badajoz
1243,06880,torremayor/badajoz
1244,06210,torremejia/badajoz
1245,06909,trasierra/badajoz
1246,06892,trujillanos/badajoz
1247,06290,usagre/badajoz
1248,06689,valdecaballeros/badajoz
1249,06474,valdetorres/badajoz
1250,06444,valencia_de_las_torres/badajoz
1251,06134,valencia_del_mombuey/badajoz
1252,06330,valencia_del_ventoso/badajoz
1253,06378,valverde_de_burguillos/badajoz
1254,06130,valverde_de_leganes/badajoz
1255,06927,valverde_de_llerena/badajoz
1256,06890,valverde_de_merida/badajoz
1257,06458,valle_de_la_serena/badajoz
1258,06177,valle_de_matamoros/badajoz
1259,06178,valle_de_santa_ana/badajoz
1260,06220,villafranca_de_los_barros/badajoz
