,ine_code,cities_es/province
291,02083,pozo_lorente/albacete
292,02084,villaverde_de_guadalimar/albacete
293,02084,riopar/albacete
294,02085,viveros/albacete
295,02086,yeste/albacete
304,02901,chinchilla_de_monte_aragon/albacete
305,03001,l'atzubia/alicante
306,03002,agost/alicante
307,03003,agres/alicante
308,03004,aigues/alicante
309,03005,albatera/alicante
310,03006,alcalali/alicante
312,03007,alcocer_de_planes/alicante
313,03008,alcoleja/alicante
315,03009,alcoi/alicante
320,03010,alfafara/alicante
321,03011,l'alfas_del_pi/alicante
323,03012,algorfa/alicante
324,03013,alguena/alicante
325,03014,alicante/alicante
350,03015,almoradi/alicante
352,03016,almudaina/alicante
353,03017,l'alqueria_d'asnar/alicante
354,03018,altea/alicante
356,03019,aspe/alicante
357,03020,balones/alicante
358,03021,banyeres_de_mariola/alicante
359,03022,alcoleja/alicante
360,03023,beneixama/alicante
362,03024,benejuzar/alicante
363,03025,benferri/alicante
364,03026,beniarbeig/alicante
365,03027,beniarda/alicante
366,03028,beniarres/alicante
367,03029,benigembla/alicante
368,03030,benidoleig/alicante
369,03031,benidorm/alicante
372,03032,benifallim/alicante
373,03033,beniarda/alicante
374,03034,benijofar/alicante
375,03035,benilloba/alicante
376,03036,almudaina/alicante
377,03037,benimantell/alicante
378,03038,almudaina/alicante
379,03039,balones/alicante
380,03040,benimeli/alicante
381,03041,benissa/alicante
382,03042,benitachell/alicante
383,03043,biar/alicante
384,03044,bigastro/alicante
385,03045,bolulla/alicante
386,03046,busot/alicante
387,03047,calp/alicante
388,03048,callosa_d'en_sarria/alicante
389,03049,callosa_de_segura/alicante
391,03050,el_campello/alicante
392,03051,beneixama/alicante
393,03052,alicante/alicante
394,03053,castalla/alicante
395,03054,castell_de_castells/alicante
396,03055,catral/alicante
397,03056,l'alqueria_d'asnar/alicante
398,03056,cocentaina/alicante
399,03057,beniarda/alicante
400,03058,cox/alicante
401,03059,catral/alicante
402,03059,crevillent/alicante
404,03060,quatretondeta/alicante
405,03061,daya_nueva/alicante
406,03062,daya_vieja/alicante
407,03063,denia/alicante
412,03064,dolores/alicante
413,03065,elche/alicante
414,03065,elx/alicante
432,03066,elda/alicante
433,03067,facheca/alicante
434,03068,facheca/alicante
435,03069,finestrat/alicante
436,03070,daya_vieja/alicante
437,03070,almoradi/alicante
438,03071,gata_de_gorgos/alicante
439,03072,gaianes/alicante
440,03073,quatretondeta/alicante
441,03074,granja_de_rocamora/alicante
442,03075,beniarda/alicante
443,03076,guardamar_del_segura/alicante
444,03077,hondon_de_las_nieves/alicante
446,03078,hondon_de_las_nieves/alicante
447,03079,ibi/alicante
448,03080,jacarilla/alicante
449,03081,xalo/alicante
450,03082,javea/alicante
454,03083,jijona/alicante
455,03084,lorcha/alicante
456,03085,lliber/alicante
457,03086,balones/alicante
458,03088,monforte_del_cid/alicante
460,03089,monovar/alicante
462,03090,mutxamel/alicante
463,03091,murla/alicante
464,03092,muro_de_alcoy/alicante
466,03093,novelda/alicante
467,03094,la_nucia/alicante
468,03095,ondara/alicante
469,03096,onil/alicante
470,03097,orba/alicante
471,03097,murla/alicante
474,03098,orxeta/alicante
475,03099,orihuela/alicante
477,03099,benferri/alicante
478,03099,hondon_de_las_nieves/alicante
481,03099,jacarilla/alicante
488,03100,murla/alicante
489,03101,pedreguer/alicante
490,03102,denia/alicante
491,03103,penaguila/alicante
492,03104,petrer/alicante
493,03105,pinoso/alicante
496,03105,pinoso/murcia
497,03106,planes/alicante
498,03107,polop/alicante
499,03109,orihuela/alicante
500,03110,benimeli/alicante
501,03111,redovan/alicante
502,03112,relleu/alicante
503,03113,rojales/alicante
504,03114,la_romana/alicante
505,03115,orba/alicante
506,03116,alicante/alicante
507,03116,salinas/alicante
508,03116,pinoso/alicante
509,03117,benimeli/alicante
510,03118,daya_vieja/alicante
511,03119,sant_joan_d'alacant/alicante
512,03120,san_miguel_de_salinas/alicante
513,03121,santa_pola/alicante
514,03122,san_vicente_del_raspeig/alicante
515,03123,sax/alicante
516,03124,orxeta/alicante
517,03125,lliber/alicante
518,03127,bolulla/alicante
519,03128,teulada/alicante
521,03129,tibi/alicante
522,03130,facheca/alicante
523,03131,orba/alicante
524,03132,la_torre_de_les_macanes/alicante
525,03133,torrevieja/alicante
533,03134,la_vall_d'alcala/alicante
534,03135,la_vall_d'ebo/alicante
535,03136,vall_de_gallinera/alicante
536,03136,la_vall_d'alcala/alicante
537,03137,orba/alicante
538,03138,denia/alicante
539,03139,villajoyosa/alicante
540,03140,villena/alicante
542,03140,alicante/alicante
544,03901,els_poblets/alicante
545,03902,pilar_de_la_horadada/alicante
546,03902,orihuela/alicante
547,03903,los_montesinos/alicante
548,03904,san_isidro/alicante
549,04001,abla/almeria
550,04002,abrucena/almeria
552,04003,adra/almeria
555,04004,albanchez/almeria
557,04005,alboloduy/almeria
559,04006,albox/almeria
565,04007,alcolea/almeria
567,04008,alcontar/almeria
569,04009,alcudia_de_monteagud/almeria
570,04010,alhabia/almeria
571,04011,alhama_de_almeria/almeria
572,04012,alicun/almeria
573,04013,almeria/almeria
587,04014,almocita/almeria
588,04015,alsodux/almeria
589,04016,antas/almeria
591,04017,arboleas/almeria
592,04018,armuna_de_almanzora/almeria
593,04019,bacares/almeria
594,04020,bayarcal/almeria
595,04020,adra/almeria
596,04021,armuna_de_almanzora/almeria
597,04022,bedar/almeria
599,04023,almocita/almeria
600,04024,benahadux/almeria
601,04026,alcudia_de_monteagud/almeria
602,04027,alcudia_de_monteagud/almeria
603,04027,benizalon/almeria
604,04028,bentarique/almeria
605,04029,berja/almeria
607,04029,alcolea/almeria
609,04030,canjayar/almeria
610,04031,cantoria/almeria
612,04031,albanchez/almeria
613,04032,carboneras/almeria
615,04033,castro_de_filabres/almeria
616,04034,cobdar/almeria
617,04035,cuevas_del_almanzora/almeria
624,04036,cobdar/almeria
625,04037,chirivel/almeria
626,04038,dalias/almeria
627,04041,enix/almeria
628,04043,felix/almeria
629,04044,fines/almeria
630,04045,finana/almeria
631,04046,fondon/almeria
632,04046,bayarcal/almeria
633,04047,gador/almeria
634,04048,los_gallardos/almeria
635,04048,bedar/almeria
637,04049,garrucha/almeria
638,04050,alboloduy/almeria
639,04050,gergal/almeria
642,04051,alicun/almeria
643,04052,huercal_de_almeria/almeria
644,04053,albox/almeria
645,04053,huercal_overa/almeria
652,04054,illar/almeria
653,04055,instincion/almeria
654,04056,laroya/almeria
655,04057,laujar_de_andarax/almeria
656,04058,cobdar/almeria
657,04059,lubrin/almeria
658,04060,lucainena_de_las_torres/almeria
661,04061,lucar/almeria
663,04062,macael/almeria
664,04063,maria/almeria
666,04064,mojacar/almeria
668,04065,nacimiento/almeria
669,04066,carboneras/almeria
670,04066,nijar/almeria
676,04066,lucainena_de_las_torres/almeria
682,04067,ohanes/almeria
683,04068,castro_de_filabres/almeria
684,04069,olula_del_rio/almeria
685,04070,oria/almeria
687,04070,albox/almeria
690,04071,almocita/almeria
691,04072,oria/almeria
692,04073,bayarcal/almeria
693,04073,adra/almeria
694,04074,pechina/almeria
696,04075,oria/almeria
697,04075,cuevas_del_almanzora/almeria
699,04075,pulpi/almeria
700,04076,purchena/almeria
701,04077,ragol/almeria
702,04078,rioja/almeria
703,04079,roquetas_de_mar/almeria
707,04080,alsodux/almeria
708,04081,santa_fe_de_mondujar/almeria
709,04082,senes/almeria
710,04083,seron/almeria
711,04083,alcontar/almeria
713,04083,oria/almeria
714,04084,sierro/almeria
715,04085,lucar/almeria
716,04086,sorbas/almeria
718,04086,bedar/almeria
721,04086,carboneras/almeria
723,04086,lubrin/almeria
724,04087,sierro/almeria
725,04088,tabernas/almeria
726,04088,lucainena_de_las_torres/almeria
727,04089,taberno/almeria
728,04089,albox/almeria
729,04090,tahal/almeria
730,04090,sorbas/almeria
731,04091,bentarique/almeria
733,04092,tijola/almeria
734,04092,lucar/almeria
735,04092,bacares/almeria
736,04092,tahal/almeria
737,04093,mojacar/almeria
738,04094,lucainena_de_las_torres/almeria
739,04095,benizalon/almeria
740,04095,sorbas/almeria
741,04096,urracal/almeria
742,04097,castro_de_filabres/almeria
743,04098,velez_blanco/almeria
744,04098,maria/almeria
746,04099,velez_rubio/almeria
750,04099,velez_blanco/almeria
751,04100,vera/almeria
752,04101,viator/almeria
753,04102,vicar/almeria
755,04103,zurgena/almeria
756,04103,taberno/almeria
757,04103,huercal_overa/almeria
758,04901,las_tres_villas/almeria
760,04902,el_ejido/almeria
766,04903,la_mojonera/almeria
768,05001,adanero/avila
769,05002,la_adrada/avila
770,05005,albornos/avila
771,05007,aldeanueva_de_santa_cruz/avila
772,05008,aldeaseca/avila
773,05010,la_aldehuela/avila
774,05012,amavida/avila
775,05013,el_arenal/avila
776,05014,arenas_de_san_pedro/avila
778,05015,arevalillo/avila
779,05016,arevalo/avila
781,05017,aveinte/avila
782,05018,aldeanueva_de_santa_cruz/avila
783,05019,avila/avila
792,05021,el_barco_de_avila/avila
793,05022,el_barraco/avila
795,05023,barroman/avila
796,05024,becedas/avila
798,05025,arevalillo/avila
799,05026,barroman/avila
800,05027,las_berlanas/avila
801,05029,bernuy_zapardiel/avila
802,05030,avila/avila
803,05033,blascomillan/avila
805,05034,blasconuno_de_matacabras/avila
806,05035,blascosancho/avila
807,05036,el_bohodon/avila
808,05037,bohoyo/avila
810,05038,bonilla_de_la_sierra/avila
812,05039,aveinte/avila
813,05040,bularros/avila
815,05041,burgohondo/avila
817,05042,cabezas_de_alambre/avila
818,05043,bernuy_zapardiel/avila
819,05044,cabezas_del_villar/avila
820,05045,el_bohodon/avila
821,05046,aldeaseca/avila
823,05047,candeleda/avila
825,05048,bernuy_zapardiel/avila
826,05049,cardenosa/avila
827,05051,la_carrera/avila
828,05052,casas_del_puerto/avila
829,05053,bularros/avila
830,05054,casavieja/avila
831,05055,casillas/avila
833,05056,barroman/avila
834,05057,cebreros/avila
835,05058,cepeda_la_mora/avila
836,05059,cillan/avila
837,05060,bernuy_zapardiel/avila
838,05061,la_colilla/avila
839,05062,collado_de_contreras/avila
840,05063,arevalillo/avila
841,05064,cabezas_de_alambre/avila
842,05065,collado_de_contreras/avila
843,05065,crespos/avila
844,05066,cuevas_del_valle/avila
845,05067,chamartin/avila
846,05069,cabezas_de_alambre/avila
847,05070,donvidas/avila
848,05072,adanero/avila
849,05073,flores_de_avila/avila
850,05074,fontiveros/avila
851,05075,fresnedilla/avila
852,05076,avila/avila
853,05077,aldeaseca/avila
854,05078,aldeaseca/avila
855,05079,chamartin/avila
856,05080,gallegos_de_sobrinos/avila
857,05081,garganta_del_villar/avila
859,05082,gavilanes/avila
860,05083,avila/avila
861,05084,gilbuena/avila
862,05085,gil_garcia/avila
863,05086,blascomillan/avila
864,05087,gotarrendura/avila
865,05088,aveinte/avila
866,05089,guisando/avila
867,05090,adanero/avila
868,05092,hernansancho/avila
869,05093,herradon_de_pinares/avila
872,05094,blascomillan/avila
873,05095,fresnedilla/avila
874,05096,la_hija_de_dios/avila
875,05097,la_horcajada/avila
877,05099,horcajo_de_las_torres/avila
878,05100,el_hornillo/avila
879,05101,hoyocasero/avila
880,05102,el_hoyo_de_pinares/avila
881,05103,hoyorredondo/avila
882,05104,hoyos_del_collado/avila
883,05105,hoyos_del_collado/avila
885,05106,cepeda_la_mora/avila
886,05107,gallegos_de_sobrinos/avila
887,05108,becedas/avila
888,05109,langa/avila
889,05110,lanzahita/avila
890,05112,el_losar_del_barco/avila
891,05113,bohoyo/avila
892,05114,madrigal_de_las_altas_torres/avila
893,05115,maello/avila
894,05116,arevalillo/avila
895,05117,mamblas/avila
896,05118,blascomillan/avila
897,05119,manjabalago_y_ortigosa_de_rioalmar/avila
898,05120,bularros/avila
899,05121,bularros/avila
900,05122,martinez/avila
902,05123,avila/avila
903,05124,gilbuena/avila
904,05125,la_hija_de_dios/avila
905,05126,bonilla_de_la_sierra/avila
906,05127,mijares/avila
908,05128,mingorria/avila
909,05129,el_miron/avila
910,05129,arevalillo/avila
911,05130,mironcillo/avila
912,05131,blascomillan/avila
913,05132,mombeltran/avila
915,05133,gotarrendura/avila
916,05134,blasconuno_de_matacabras/avila
917,05135,munana/avila
918,05136,manjabalago_y_ortigosa_de_rioalmar/avila
919,05138,munogalindo/avila
920,05139,collado_de_contreras/avila
921,05139,aveinte/avila
922,05140,albornos/avila
923,05141,la_colilla/avila
924,05142,blascomillan/avila
925,05143,amavida/avila
926,05144,el_miron/avila
927,05145,chamartin/avila
928,05147,flores_de_avila/avila
929,05148,la_hija_de_dios/avila
930,05149,albornos/avila
931,05151,casas_del_puerto/avila
932,05152,nava_de_arevalo/avila
933,05153,nava_del_barco/avila
934,05154,garganta_del_villar/avila
935,05155,bonilla_de_la_sierra/avila
936,05156,casillas/avila
937,05157,garganta_del_villar/avila
938,05158,navalmoral/avila
939,05159,nava_del_barco/avila
940,05160,hoyocasero/avila
941,05161,navalperal_de_pinares/avila
942,05162,navalperal_de_tormes/avila
944,05163,navaluenga/avila
945,05164,navaquesera/avila
946,05165,navarredonda_de_gredos/avila
947,05166,navalmoral/avila
948,05167,navarrevisca/avila
949,05168,las_navas_del_marques/avila
951,05169,navaquesera/avila
952,05170,nava_del_barco/avila
953,05171,gilbuena/avila
954,05172,mironcillo/avila
955,05173,ojos_albos/avila
956,05174,adanero/avila
957,05175,hernansancho/avila
958,05176,padiernos/avila
959,05177,pajares_de_adaja/avila
960,05178,donvidas/avila
961,05179,albornos/avila
962,05180,blascomillan/avila
963,05181,pascualcobo/avila
964,05182,pedro_bernardo/avila
965,05183,el_bohodon/avila
966,05184,las_navas_del_marques/avila
967,05185,gotarrendura/avila
968,05186,piedrahita/avila
970,05187,munana/avila
971,05187,piedralaves/avila
972,05188,amavida/avila
973,05189,poyales_del_hoyo/avila
974,05190,pajares_de_adaja/avila
975,05191,amavida/avila
976,05192,puerto_castilla/avila
977,05193,mamblas/avila
978,05194,pascualcobo/avila
979,05194,hernansancho/avila
980,05195,riofrio/avila
981,05196,collado_de_contreras/avila
982,05197,padiernos/avila
983,05198,blascomillan/avila
984,05199,gilbuena/avila
985,05200,hoyorredondo/avila
986,05201,san_bartolome_de_pinares/avila
987,05204,blascosancho/avila
988,05205,chamartin/avila
989,05206,san_esteban_de_los_patos/avila
990,05207,san_esteban_del_valle/avila
991,05208,barroman/avila
992,05209,blascomillan/avila
993,05210,horcajo_de_las_torres/avila
994,05210,albornos/avila
995,05211,san_juan_de_la_nava/avila
996,05212,navalmoral/avila
997,05213,manjabalago_y_ortigosa_de_rioalmar/avila
998,05214,la_horcajada/avila
999,05215,san_martin_de_la_vega_del_alberche/avila
1000,05216,cepeda_la_mora/avila
1001,05217,bonilla_de_la_sierra/avila
1002,05218,pascualcobo/avila
1003,05219,hernansancho/avila
1004,05220,san_pedro_del_arroyo/avila
1005,05221,santa_cruz_del_valle/avila
1006,05222,herradon_de_pinares/avila
1007,05224,munogalindo/avila
1009,05225,santa_maria_del_berrocal/avila
1010,05226,aldeanueva_de_santa_cruz/avila
1012,05227,casillas/avila
1013,05228,santiago_del_collado/avila
1014,05229,pajares_de_adaja/avila
1015,05230,aveinte/avila
1016,05231,cabezas_de_alambre/avila
1017,05232,la_colilla/avila
1018,05233,navarrevisca/avila
1020,05234,aveinte/avila
1021,05235,donvidas/avila
1022,05236,puerto_castilla/avila
1023,05236,solana_de_avila/avila
1024,05237,cillan/avila
1025,05238,solosancho/avila
1026,05239,sotalbo/avila
1027,05240,sotillo_de_la_adrada/avila
1029,05241,el_tiemblo/avila
1030,05241,el_barraco/avila
1032,05242,el_bohodon/avila
1033,05243,mamblas/avila
1034,05243,san_esteban_de_los_patos/avila
1035,05244,nava_del_barco/avila
1036,05245,herradon_de_pinares/avila
1037,05246,bonilla_de_la_sierra/avila
1038,05247,padiernos/avila
1039,05247,munana/avila
1040,05249,gil_garcia/avila
1041,05251,amavida/avila
1042,05252,valdecasa/avila
1043,05253,pajares_de_adaja/avila
1044,05254,pajares_de_adaja/avila
1045,05256,aveinte/avila
1046,05257,casas_del_puerto/avila
1047,05258,hernansancho/avila
1048,05259,aldeaseca/avila
1049,05260,villanueva_del_campillo/avila
1050,05261,hoyorredondo/avila
1051,05262,santa_cruz_del_valle/avila
1052,05263,amavida/avila
1053,05264,collado_de_contreras/avila
1054,05265,blascomillan/avila
1055,05266,el_miron/avila
1056,05267,navalperal_de_tormes/avila
1058,05901,san_juan_de_gredos/avila
1059,05902,ojos_albos/avila
1060,05903,martinez/avila
1061,05904,bohoyo/avila
1062,05905,villanueva_de_avila/avila
1063,06001,acedera/badajoz
1065,06002,aceuchal/badajoz
1067,06003,ahillones/badajoz
1068,06004,alange/badajoz
1069,06005,la_albuera/badajoz
1070,06006,alburquerque/badajoz
1072,06007,alconchel/badajoz
1073,06008,alconera/badajoz
1074,06009,aljucen/badajoz
1075,06010,almendral/badajoz
1076,06011,almendralejo/badajoz
1077,06012,arroyo_de_san_servan/badajoz
1078,06013,atalaya/badajoz
1079,06014,azuaga/badajoz
1081,06015,la_albuera/badajoz
1082,06015,badajoz/badajoz
1100,06016,barcarrota/badajoz
1101,06017,baterno/badajoz
1102,06018,benquerencia_de_la_serena/badajoz
1106,06019,berlanga/badajoz
1107,06020,bienvenida/badajoz
1108,06021,bodonal_de_la_sierra/badajoz
1109,06022,burguillos_del_cerro/badajoz
1110,06023,cabeza_del_buey/badajoz
1112,06024,cabeza_la_vaca/badajoz
1113,06025,calamonte/badajoz
1114,06026,calera_de_leon/badajoz
1115,06027,calzadilla_de_los_barros/badajoz
1116,06028,campanario/badajoz
1118,06029,campillo_de_llerena/badajoz
1119,06030,capilla/badajoz
1120,06031,calzadilla_de_los_barros/badajoz
1121,06031,carmonita/badajoz
1122,06032,aljucen/badajoz
1123,06033,casas_de_don_pedro/badajoz
1124,06034,casas_de_reina/badajoz
1125,06035,castilblanco/badajoz
1126,06036,castuera/badajoz
1127,06037,la_codosera/badajoz
1128,06038,cordobilla_de_lacara/badajoz
1129,06039,la_coronada/badajoz
1130,06040,corte_de_peleas/badajoz
1131,06041,cristina/badajoz
1132,06042,cheles/badajoz
1133,06043,don_alvaro/badajoz
1134,06044,don_benito/badajoz
1136,06044,aceuchal/badajoz
1139,06045,entrin_bajo/badajoz
1140,06046,esparragalejo/badajoz
1141,06047,esparragosa_de_la_serena/badajoz
1142,06048,esparragosa_de_lares/badajoz
1143,06049,feria/badajoz
1144,06050,fregenal_de_la_sierra/badajoz
1145,06051,fuenlabrada_de_los_montes/badajoz
1146,06052,fuente_de_cantos/badajoz
1147,06053,fuente_del_arco/badajoz
1148,06054,fuente_del_maestre/badajoz
1149,06055,fuentes_de_leon/badajoz
1150,06056,garbayuela/badajoz
1151,06057,garlitos/badajoz
1152,06058,la_garrovilla/badajoz
1153,06059,granja_de_torrehermosa/badajoz
1154,06060,aceuchal/badajoz
1155,06060,guarena/badajoz
1156,06061,la_haba/badajoz
1158,06062,helechosa_de_los_montes/badajoz
1159,06063,herrera_del_duque/badajoz
1161,06064,higuera_de_la_serena/badajoz
1162,06065,higuera_de_llerena/badajoz
1163,06066,higuera_de_vargas/badajoz
1164,06067,higuera_la_real/badajoz
1165,06068,hinojosa_del_valle/badajoz
1166,06069,hornachos/badajoz
1167,06070,jerez_de_los_caballeros/badajoz
1169,06071,la_lapa/badajoz
1170,06072,lobon/badajoz
1172,06073,llera/badajoz
1173,06074,llerena/badajoz
1174,06075,magacela/badajoz
1175,06076,maguilla/badajoz
1176,06077,malcocinado/badajoz
1177,06078,malpartida_de_la_serena/badajoz
1178,06079,manchita/badajoz
1179,06080,medellin/badajoz
1180,06081,medina_de_las_torres/badajoz
1181,06082,mengabril/badajoz
1182,06083,merida/badajoz
1183,06084,mirandilla/badajoz
1184,06085,monesterio/badajoz
1185,06086,montemolin/badajoz
1188,06087,monterrubio_de_la_serena/badajoz
1189,06088,montijo/badajoz
1192,06089,la_morera/badajoz
1193,06090,la_nava_de_santiago/badajoz
1194,06091,acedera/badajoz
1195,06091,navalvillar_de_pela/badajoz
1197,06092,nogales/badajoz
1198,06093,oliva_de_la_frontera/badajoz
1199,06094,oliva_de_merida/badajoz
1200,06095,olivenza/badajoz
1205,06096,orellana_de_la_sierra/badajoz
1206,06097,orellana_la_vieja/badajoz
1207,06098,palomas/badajoz
1208,06099,la_morera/badajoz
1209,06100,penalsordo/badajoz
1210,06101,peraleda_del_zaucejo/badajoz
1211,06102,puebla_de_alcocer/badajoz
1212,06103,puebla_de_la_calzada/badajoz
1213,06104,puebla_de_la_reina/badajoz
1214,06105,puebla_del_maestre/badajoz
1215,06106,puebla_del_prior/badajoz
1216,06107,puebla_de_obando/badajoz
1217,06108,puebla_de_sancho_perez/badajoz
1219,06109,quintana_de_la_serena/badajoz
1220,06110,reina/badajoz
1221,06111,rena/badajoz
1222,06112,retamal_de_llerena/badajoz
1223,06113,ribera_del_fresno/badajoz
1224,06114,risco/badajoz
1225,06115,la_roca_de_la_sierra/badajoz
1226,06116,la_haba/badajoz
1227,06117,salvatierra_de_los_barros/badajoz
1228,06119,san_pedro_de_merida/badajoz
1229,06120,aceuchal/badajoz
1230,06121,santa_marta/badajoz
1231,06122,los_santos_de_maimona/badajoz
1232,06123,san_vicente_de_alcantara/badajoz
1233,06124,segura_de_leon/badajoz
1234,06125,siruela/badajoz
1235,06126,corte_de_peleas/badajoz
1237,06126,solana_de_los_barros/badajoz
1238,06127,talarrubias/badajoz
1239,06128,talavera_la_real/badajoz
1240,06129,taliga/badajoz
1241,06130,tamurejo/badajoz
1242,06131,torre_de_miguel_sesmero/badajoz
1243,06132,torremayor/badajoz
1244,06133,torremejia/badajoz
1245,06134,trasierra/badajoz
1246,06135,trujillanos/badajoz
1247,06136,usagre/badajoz
1248,06137,valdecaballeros/badajoz
1249,06138,valdetorres/badajoz
1250,06139,valencia_de_las_torres/badajoz
1251,06140,valencia_del_mombuey/badajoz
1252,06141,valencia_del_ventoso/badajoz
1253,06142,valverde_de_burguillos/badajoz
1254,06143,valverde_de_leganes/badajoz
1255,06144,valverde_de_llerena/badajoz
1256,06145,valverde_de_merida/badajoz
1257,06146,valle_de_la_serena/badajoz
1258,06147,valle_de_matamoros/badajoz
1259,06148,valle_de_santa_ana/badajoz
1260,06149,villafranca_de_los_barros/badajoz
1261,06150,villagarcia_de_la_torre/badajoz
1262,06151,villagonzalo/badajoz
1263,06152,villalba_de_los_barros/badajoz
1264,06153,villanueva_de_la_serena/badajoz
