municipio,total_bib
Torre de Miguel Sesmero,1
Torremejía,1
Trasierra,1
Trujillanos,1
Usagre,1
Valdecaballeros,1
Valdelacalzada,1
Valdetorres,1
Valencia de las Torres,1
Valencia del Mombuey,1
Valencia del Ventoso,1
Valle de la Serena,1
Valle de Matamoros,1
Valle de Santa Ana,1
Valverde de Burguillos,1
Valverde de Leganés,1
Valverde de Mérida,1
Villafranca de los Barros,1
Villagarcía de la Torre,1
Villalba de los Barros,1
Villanueva de la Serena,4
Villanueva del Fresno,1
Villar de Rena,3
Villarta de los Montes,1
Zafra,1
Zahínos,1
Zalamea de la Serena,1
Zarza-Capilla,1
Abadía,1
Abertura,1
Acebo,1
Acehúche,1
Aceituna,1
Ahigal,1
Alagón del Río,1
Albalá,1
Alcántara,1
Alcuéscar,1
Aldea del Cano,1
Aldeacentenera,1
Aldeanueva de la Vera,1
Aldeanueva del Camino,1
Aldehuela de Jerte,1
Alía,1
Aliseda,1
Almaraz,1
Almoharín,1
Arroyo de la Luz,1
Arroyomolinos,1
Arroyomolinos de la Vera,1
Baños de Montemayor,1
Barrado,1
Belvís de Monroy,2
Berrocalejo,1
Berzocana,1
Bohonal de Ibor,1
Botija,1
Brozas,1
Cabañas del Castillo,1
Cabezuela del Valle,1
Cáceres,2
Cadalso,1
Calzadilla,1
Campo Lugar,2
Cañamero,1
Carbajo,1
Carcaboso,1
Carrascalejo,1
Casar de Cáceres,1
Casar de Palomero,2
Casas de Don Antonio,1
Casas de Don Gómez,1
Casas de Millán,1
Casas de Miravete,1
Casas del Castañar,1
Casas del Monte,1
Casatejada,1
Casillas de Coria,1
Castañar de Ibor,1
Ceclavín,1
Cedillo,1
Cerezo,1
Cilleros,1
Conquista de la Sierra,1
Coria,3
Cuacos de Yuste,1
Deleitosa,1
El Gordo,1
El Torno,1
Escurial,1
Galisteo,1
Garciaz,1
Garganta la Olla,1
Gargantilla,1
Garrovillas de Alconétar,1
Garvín,1
Gata,2
Guadalupe,1
Guijo de Galisteo,2
Guijo de Granadilla,1
Guijo de Santa Bárbara,1
Herguijuela,1
Hernán-Pérez,1
Herrera de Alcántara,1
Herreruela,1
Hervás,1
Hinojal,1
Holguera,1
Hoyos,1
Huélaga,1
Ibahernando,1
Jaraicejo,1
Jaraíz de la Vera,1
Jarandilla de la Vera,1
Jarilla,1
Jerte,1
La Aldea del Obispo,1
La Cumbre,1
La Garganta,1
La Granja,1
La Pesga,1
Ladrillar,1
Logrosán,1
Losar de la Vera,1
Madrigal de la Vera,1
Madrigalejo,1
Madroñera,1
Majadas,1
Malpartida de Cáceres,1
Malpartida de Plasencia,1
Mata de Alcántara,1
Membrío,1
Mesas de Ibor,1
Miajadas,3
Millanes,1
Mirabel,1
Mohedas de Granadilla,1
Monroy,1
Montánchez,1
Montehermoso,1
Moraleja,1
Morcillo,1
Navaconcejo,1
Navalmoral de la Mata,1
Navas del Madroño,1
Navezuelas,1
Nuñomoral,1
Palomero,1
Pasarón de la Vera,1
Peraleda de la Mata,1
Perales del Puerto,1
Pescueza,1
Piedras Albas,1
Pinofranqueado,2
Piornal,1
Plasencia,1
Plasenzuela,1
Portaje,1
Pozuelo de Zarzón,1
Puerto de Santa Cruz,1
Rebollar,1
Riolobos,1
Robledillo de la Vera,1
Robledillo de Trujillo,1
Romangordo,1
Rosalejo,1
Salorino,1
Salvatierra de Santiago,1
San Martín de Trevejo,1
Santa Ana,1
Santa Cruz de la Sierra,1
Santa Cruz de Paniagua,1
Santa Marta de Magasca,1
Santiago de Alcántara,1
Santiago del Campo,1
Santibáñez el Alto,1
Santibáñez el Bajo,1
Saucedilla,1
Segura de Toro,1
Serradilla,1
Serrejón,1
Sierra de Fuentes,1
Talaván,1
Talaveruela de la Vera,1
Talayuela,4
Tejeda de Tiétar,1
Tornavacas,1
Torre de Don Miguel,1
Torre de Santa María,1
Torrecilla de los Ángeles,1
Torrecillas de la Tiesa,1
Torrejoncillo,2
Torremenga,1
Torremocha,1
Torreorgaz,1
Torrequemada,1
Trujillo,1
Valdefuentes,1
Valdehúncar,1
Valdelacasa de Tajo,1
Valdemorales,1
Valdeobispo,1
Valencia de Alcántara,1
Valverde de la Vera,1
Valverde del Fresno,1
Vegaviana,1
Viandar de la Vera,1
Villa del Campo,1
Villamesías,1
Villanueva de la Sierra,1
Villanueva de la Vera,1
Villar de Plasencia,1
Villar del Pedroso,2
Zarza de Granadilla,1
Zarza de Montánchez,1
Zarza la Mayor,1
Zorita,1
Abrera,1
Aiguafreda,1
Alella,1
Arenys de Mar,1
Arenys de Munt,1
Artés,1
Avinyó,1
Badalona,6
Badia del Vallès,1
Balsareny,1
Barberà del Vallès,1
Barcelona,40
Begues,1
Berga,2
Bigues i Riells,1
Cabrera de Mar,1
Cabrils,1
Caldes de Montbui,1
Caldes d'Estrac,1
Calella,1
Canet de Mar,1
Canovelles,1
Capellades,1
Cardedeu,1
Cardona,1
Castellar del Vallès,1
Castellbisbal,1
Castelldefels,1
Centelles,1
Cerdanyola del Vallès,1
Cervelló,1
Collbató,1
Corbera de Llobregat,1
Cornellà de Llobregat,3
El Bruc,1
El Masnou,1
El Papiol,1
El Pont de Vilomara i Rocafort,1
El Prat de Llobregat,1
Esparreguera,1
Esplugues de Llobregat,1
Gavà,2
Gelida,1
Gironella,1
Granollers,3
Gurb,3
Igualada,2
L' Ametlla del Vallès,1
L' Hospitalet de Llobregat,8
La Garriga,1
La Llagosta,1
La Roca del Vallès,1
Les Franqueses del Vallès,1
Lliçà d'Amunt,1
Lliçà de Vall,1
Llinars del Vallès,1
Malgrat de Mar,1
Manlleu,1
Manresa,3
Martorell,1
Martorelles,1
Masquefa,1
Matadepera,1
Mataró,2
Moià,1
Molins de Rei,1
Mollet del Vallès,1
Montcada i Reixac,2
Montgat,1
Montmeló,1
Montornès del Vallès,1
Navarcles,1
Navàs,1
Olesa de Montserrat,1
Palafolls,1
Pallejà,1
Parets del Vallès,2
Piera,1
Pineda de Mar,2
Polinyà,1
Premià de Dalt,1
Premià de Mar,1
Puig-reig,1
Ripollet,1
Roda de Ter,1
Rubí,1
Sabadell,7
Sallent,1
Sant Adrià de Besòs,2
Sant Andreu de la Barca,1
Sant Andreu de Llavaneres,1
Sant Antoni de Vilamajor,1
Sant Boi de Llobregat,2
Sant Celoni,1
Sant Cugat del Vallès,3
Sant Esteve Sesrovires,1
Sant Feliu de Codines,1
Sant Feliu de Llobregat,1
Sant Feliu Sasserra,1
Sant Fost de Campsentelles,1
Sant Fruitós de Bages,1
Sant Hipòlit de Voltregà,1
Sant Joan de Vilatorrada,1
Sant Joan Despí,2
Sant Just Desvern,1
Sant Pere de Ribes,2
Sant Pere de Riudebitlles,1
Sant Pere de Torelló,1
Sant Pol de Mar,1
Sant Quintí de Mediona,1
Sant Quirze de Besora,1
Sant Quirze del Vallès,1
Sant Sadurní d'Anoia,1
Sant Vicenç de Castellet,1
Sant Vicenç de Montalt,1
Sant Vicenç dels Horts,1
Santa Coloma de Cervelló,1
Santa Coloma de Gramenet,4
Santa Eulàlia de Ronçana,1
Santa Margarida de Montbui,1
Santa Margarida i els Monjos,1
Santa Maria de Palautordera,1
Santa Perpètua de Mogoda,1
Santa Susanna,1
Santpedor,1
Sentmenat,1
Sitges,2
Súria,1
Taradell,1
Teià,1
Terrassa,7
Tiana,1
Tona,1
Tordera,1
Torelló,2
Torrelles de Llobregat,1
Vacarisses,1
Vallirana,1
Vic,1
Viladecans,1
Viladecavalls,1
Vilafranca del Penedès,3
Vilanova del Camí,1
Vilanova del Vallès,1
Vilanova i la Geltrú,2
Vilassar de Dalt,1
Vilassar de Mar,1
