"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Volcà Puig Astrol";"510016";"151332";"ES512017";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Puig Astrol (2012)"
"Volcán y Laguna de Peñarroya";"420015";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 176/2000 de 5 de diciembre. DOCM 130 de 28 de diciembre de 2000.";"2000";"";"";"";"";"";"";"";"";"Datos Volcán y Laguna de Peñarroya (2012)"
"Volcans Traiter inferior y superior";"510027";"349494";"ES512025";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans Traiter inferior y superior (2012)"
"Volcans Roca Negra i Puig Subià";"510026";"196331";"ES512024";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans Roca Negra i Puig Subià (2012)"
"Volcans Puig Safont i el Tom, Puig de Martinyà i la Mallola";"510025";"349495";"ES512022";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans Puig Safont i el Tom, Puig de Martinyà i la Mallola (2012)"
"Volcans Puig Rodó, Puig de les Medes i Llacunagra";"510024";"196454";"ES512021";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans Puig Rodó, Puig de les Medes i Llacunagra (2012)"
"Volcans les Bisaroques";"510023";"151329";"ES512015";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans les Bisaroques (2012)"
"Volcans del Cairat, Claperols i Repassot";"510285";"555545990";"ES512054";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 41/2008, de 26 de febrero. DOGC 5081, 29 de Febrero de 2008.";"2008";"0";"0";"0";"0";"";"";"";"";"Datos Volcans del Cairat, Claperols i Repassot (2012)"
"Volcans de la Garrinada i Montsacopa";"510022";"349499";"ES512010";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans de la Garrinada i Montsacopa (2012)"
"Volcans de Cabrioler";"510021";"349502";"ES512006";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcans de Cabrioler (2012)"
" Volcán de Piedrabuena";"420103";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 25/2009, de 31 de marzo. DOCM 65 de 3 de abril";"2009";"";"";"";"";"";"";"";"";"Datos  Volcán de Piedrabuena (2012)"
"Volcán del Gasco";"430025";"349489";"ES432014";"Otros";"Extremadura";"Lugar de Interés Científico";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 153/2003 de 29 de julio, DOE 91 (05/08/2003)";"2003";"";"";"";"";"";"";"";"";"Datos Volcán del Gasco (2012)"
"Volcán del Cerro de los Santos";"420020";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 21/2001 de 27 de febrero. DOCM 40 de 30 de marzo de 2001.";"2001";"";"";"";"";"";"";"";"";"Datos Volcán del Cerro de los Santos (2012)"
"Volcán de Alhorín";"420107";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"0";"0";"Decreto 214/2010, de 28 de septiembre. DOCM 193 de 5 de octubre";"2010";"Decreto 214/2010, del 28 de octubre de 2010.";"2010";"";"";"";"";"";"";"";"";"Datos Volcán de Alhorín (2012)"
"Volcà Montolivet";"510015";"151330";"ES512016";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Montolivet (2012)"
"Volcà l´Estany";"510014";"196015";"ES512026";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà l´Estany (2012)"
"Volcà Fontpobra";"510013";"196428";"ES512014";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Fontpobra (2012)"
"Volcà el Torrent";"510012";"151324";"ES512013";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà el Torrent (2012)"
"Volcà el Racó";"510273";"349496";"ES512012";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà el Racó (2012)"
"Volcà de Sant Marc";"510283";"555546006";"ES512053";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 41/2008, de 26 de febrero. DOGC 5081, 29 de Febrero de 2008.";"2008";"0";"0";"0";"0";"";"";"";"";"Datos Volcà de Sant Marc (2012)"
"Volcà de Santa Margarida";"510011";"349509";"ES512011";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà de Santa Margarida (2012)"
"Volcá del Puig Roig";"510282";"555546034";"ES512052";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 41/2008, de 26 de febrero. DOGC 5081, 29 de Febrero de 2008.";"2008";"0";"0";"0";"0";"";"";"";"";"Datos Volcá del Puig Roig (2012)"
"Volcà de la Crosa";"510217";"389219";"ES510217";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Resolución de 7 de noviembre de 1995. DOGC 2152.";"1995";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Volcà de la Crosa (2012)"
"Volcà Croscat";"510010";"151322";"ES512009";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Croscat (2012)"
"Volcà Can Tià";"510009";"0";"0";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Can Tià (2012)"
"Volcà can Simó";"510008";"349501";"ES512007";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà can Simó (2012)"
"Volcà Bellaire";"510007";"349503";"ES512005";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Bellaire (2012)"
"Volcà Aiguanegra";"510006";"151320";"ES512004";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Aiguanegra (2012)"
"Villingordo";"520065";"389066";"ES523128";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 30 de junio de 2006. DOGV 5296 de 6 de julio de 2006";"2006";"Acuerdo de 30 de junio de 2006. DOGV 5296 de 6 de julio de 2006";"2006";"";"";"";"";"";"";"Datos Villingordo (2012)"
"Vessants de la Noguera Ribagorçana";"510268";"389245";"ES510268";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Vessants de la Noguera Ribagorçana (2012)"
"Ventejís";"700142";"142940";"ES702038";"Paisaje Protegido";"Islas Canarias";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"Decreto 82/2002, de 17 de junio. BOC 107.";"2000";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 6 de febrero de 2003. BOC 37 de 24 de Febrero de 2003.";"2003";"";"";"";"";"";"";"Datos Ventejís (2012)"
"Vedado de Eguaras";"220041";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 230/1998, de 6 de julio. BON 100.";"1998";"";"";"";"";"";"";"Datos Vedado de Eguaras (2012)"
"Valls de Sió-Llobregós";"510216";"389218";"ES510216";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Valls de Sió-Llobregós (2012)"
"Valls de l'Anoia";"510267";"389244";"ES510267";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Valls de l'Anoia (2012)"
"Vall la Vinaixa";"510269";"389246";"ES510269";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Vall la Vinaixa (2012)"
"Valles Occidentales";"240008";"349405";"ES241010";"Parque Natural";"Aragón";"Parque Natural";"www.redeuroparc.org";"0";"";"";"0";"0";"Ley 14/2006, de 27 de diciembre. BOA 149 de 30 de diciembre de 2006";"2006";"0";"0";"0";"0";"";"";"";"";"Datos Valles Occidentales (2012)"
"Valle Gran Rey";"700140";"195910";"ES702043";"Parque Natural";"Islas Canarias";"Parque Rural";"www.redeuroparc.org";"0";"";"";"Decreto 97/2011, de 27 de abril de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 16 de mayo de 2006. BOC 105, 1 de Junio de 2006.";"2006";"";"";"";"";"";"";"Datos Valle Gran Rey (2012)"
"Valle de Iruelas";"410011";"349623";"ES411002";"Reserva Natural";"Castilla y León";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Decreto 57/1996, de 14 de marzo. BOCYL 59.";"1996";"Ley 7/1997, de 17 de junio. BOCYL 119 de 24 de junio de 1997";"1997";"";"";"";"";"";"";"";"";"Datos Valle de Iruelas (2012)"
"Valle de Alcudia y Sierra Madrona";"420106";"555546018";"ES422039";"Parque Natural";"Castilla-La Mancha";"Parque Natural";"www.redeuroparc.org";"0";"0";"0";"Decreto 214/2010, de 28 de septiembre. DOCM 193 de 5 de octubre";"2010";"Ley 6/2011, de 10 de marzo.";"2011";"";"";"";"";"";"";"";"";"Datos Valle de Alcudia y Sierra Madrona (2012)"
"Vallebrón";"700141";"349506";"ES701024";"Paisaje Protegido";"Islas Canarias";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"Decreto 100/2001, de 2 de abril de 2001";"2001";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 6 de febrero de 2003. BOC 37. Lunes 24 de Febrero de 2003.";"2003";"";"";"";"";"";"";"Datos Vallebrón (2012)"
"Vall de Sant Quirze";"510046";"349479";"ES512033";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 101/1987 de 20 de febrero de 1987. DOGC 825 de 6 de abril de 1987";"1987";"";"";"";"";"";"";"";"";"Datos Vall de Sant Quirze (2012)"
"Vall de Rigart";"510317";"389146";"ES510147";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"2014";"";"2014";"";"";"";"";"";"";"";"";"211.16 ha";"211.16 ha";"";"";""
"Vall del Monestir de Poblet";"510037";"348812";"ES514002";"Otros";"Cataluña";"Paraje Natural de Interés Nacional";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 22/1984 de 9 de noviembre de 1984. DOGC de 30 de noviembre de 1984";"1984";"";"2012";"";"";"";"";"";"";"Datos Vall del Monestir de Poblet (2012)"
"Vall Alta de Serradell-Terreta-Serra de Sant Gervàs";"510272";"389249";"ES510272";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Vall Alta de Serradell-Terreta-Serra de Sant Gervàs (2012)"
"Val do río Navea";"110096";"389037";"ES113014";"Paisaje Protegido";"Galicia";"Paisaje Protegido";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto 263/2008 de 13 de diciembre. DOGA 235, 3 de diciembre de 2008.";"2008";"";"";"";"";"";"";"";"";"Datos Val do río Navea (2012)"
