,,,,,,,,,,,,,,,,,,
DATA Postal code,Cities ES, Cities, Province ES, Province, Autonomous Community ES, Autonomous Community,Cities ES - Province ES,Cities ES - Province,Cities ES - CCAA ES,Cities ES - CCAA,Cities - Province ES,Cities - Province ES,Cities - Province ES,Cities - Province ES,Province ES - CCAA ES,Province ES - CCAA,Province - CCAA ES,Province - CCAA
01012,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01013,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01015,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01110,Campezo,Kanpezu,Álava,Áraba,País Vasco,País Vasco,Campezo/Álava,Campezo/Áraba,Campezo/País Vasco,Campezo/País Vasco,Kanpezu/Álava,Kanpezu/Áraba,Kanpezu/País Vasco,Kanpezu/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01117,Campezo,Kanpezu,Álava,Áraba,País Vasco,País Vasco,Campezo/Álava,Campezo/Áraba,Campezo/País Vasco,Campezo/País Vasco,Kanpezu/Álava,Kanpezu/Áraba,Kanpezu/País Vasco,Kanpezu/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01118,Bernedo,Bernedo,Álava,Áraba,País Vasco,País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01120,Arraia-Maeztu,Arraia-Maeztu,Álava,Áraba,País Vasco,País Vasco,Arraia-Maeztu/Álava,Arraia-Maeztu/Áraba,Arraia-Maeztu/País Vasco,Arraia-Maeztu/País Vasco,Arraia-Maeztu/Álava,Arraia-Maeztu/Áraba,Arraia-Maeztu/País Vasco,Arraia-Maeztu/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01128,Bernedo,Bernedo,Álava,Áraba,País Vasco,País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01129,Arraia-Maeztu,Arraia-Maeztu,Álava,Áraba,País Vasco,País Vasco,Arraia-Maeztu/Álava,Arraia-Maeztu/Áraba,Arraia-Maeztu/País Vasco,Arraia-Maeztu/País Vasco,Arraia-Maeztu/Álava,Arraia-Maeztu/Áraba,Arraia-Maeztu/País Vasco,Arraia-Maeztu/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01130,Zuia,Zuia,Álava,Áraba,País Vasco,País Vasco,Zuia/Álava,Zuia/Áraba,Zuia/País Vasco,Zuia/País Vasco,Zuia/Álava,Zuia/Áraba,Zuia/País Vasco,Zuia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01138,Zigoitia,Zigoitia,Álava,Áraba,País Vasco,País Vasco,Zigoitia/Álava,Zigoitia/Áraba,Zigoitia/País Vasco,Zigoitia/País Vasco,Zigoitia/Álava,Zigoitia/Áraba,Zigoitia/País Vasco,Zigoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01139,Zuia,Zuia,Álava,Áraba,País Vasco,País Vasco,Zuia/Álava,Zuia/Áraba,Zuia/País Vasco,Zuia/País Vasco,Zuia/Álava,Zuia/Áraba,Zuia/País Vasco,Zuia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01160,Aramaio,Aramaio,Álava,Áraba,País Vasco,País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01165,Aramaio,Aramaio,Álava,Áraba,País Vasco,País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01169,Aramaio,Aramaio,Álava,Áraba,País Vasco,País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Aramaio/Álava,Aramaio/Áraba,Aramaio/País Vasco,Aramaio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01170,Legutio,Legutio,Álava,Áraba,País Vasco,País Vasco,Legutio/Álava,Legutio/Áraba,Legutio/País Vasco,Legutio/País Vasco,Legutio/Álava,Legutio/Áraba,Legutio/País Vasco,Legutio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01171,Legutio,Legutio,Álava,Áraba,País Vasco,País Vasco,Legutio/Álava,Legutio/Áraba,Legutio/País Vasco,Legutio/País Vasco,Legutio/Álava,Legutio/Áraba,Legutio/País Vasco,Legutio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01191,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01192,Elburgo,Burgelu,Álava,Áraba,País Vasco,País Vasco,Elburgo/Álava,Elburgo/Áraba,Elburgo/País Vasco,Elburgo/País Vasco,Burgelu/Álava,Burgelu/Áraba,Burgelu/País Vasco,Burgelu/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01193,Alegría-Dulantzi,Alegría-Dulantzi,Álava,Áraba,País Vasco,País Vasco,Alegría-Dulantzi/Álava,Alegría-Dulantzi/Áraba,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/Álava,Alegría-Dulantzi/Áraba,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01194,Bernedo,Bernedo,Álava,Áraba,País Vasco,País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01195,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01196,Zigoitia,Zigoitia,Álava,Áraba,País Vasco,País Vasco,Zigoitia/Álava,Zigoitia/Áraba,Zigoitia/País Vasco,Zigoitia/País Vasco,Zigoitia/Álava,Zigoitia/Áraba,Zigoitia/País Vasco,Zigoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01200,Agurain,Salvatierra,Álava,Áraba,País Vasco,País Vasco,Agurain/Álava,Agurain/Áraba,Agurain/País Vasco,Agurain/País Vasco,Salvatierra/Álava,Salvatierra/Áraba,Salvatierra/País Vasco,Salvatierra/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01206,Barrundia,Barrundia,Álava,Áraba,País Vasco,País Vasco,Barrundia/Álava,Barrundia/Áraba,Barrundia/País Vasco,Barrundia/País Vasco,Barrundia/Álava,Barrundia/Áraba,Barrundia/País Vasco,Barrundia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01207,Iruraiz-Gauna,Iruraiz-Gauna,Álava,Áraba,País Vasco,País Vasco,Iruraiz-Gauna/Álava,Iruraiz-Gauna/Áraba,Iruraiz-Gauna/País Vasco,Iruraiz-Gauna/País Vasco,Iruraiz-Gauna/Álava,Iruraiz-Gauna/Áraba,Iruraiz-Gauna/País Vasco,Iruraiz-Gauna/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01208,Asparrena,Asparrena,Álava,Áraba,País Vasco,País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01211,Armiñón,Armiñón,Álava,Áraba,País Vasco,País Vasco,Armiñón/Álava,Armiñón/Áraba,Armiñón/País Vasco,Armiñón/País Vasco,Armiñón/Álava,Armiñón/Áraba,Armiñón/País Vasco,Armiñón/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01212,Berantevilla,Berantevilla,Álava,Áraba,País Vasco,País Vasco,Berantevilla/Álava,Berantevilla/Áraba,Berantevilla/País Vasco,Berantevilla/País Vasco,Berantevilla/Álava,Berantevilla/Áraba,Berantevilla/País Vasco,Berantevilla/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01213,Ribera Alta,Erriberagoitia,Álava,Áraba,País Vasco,País Vasco,Ribera Alta/Álava,Ribera Alta/Áraba,Ribera Alta/País Vasco,Ribera Alta/País Vasco,Erriberagoitia/Álava,Erriberagoitia/Áraba,Erriberagoitia/País Vasco,Erriberagoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01216,Bernedo,Bernedo,Álava,Áraba,País Vasco,País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Bernedo/Álava,Bernedo/Áraba,Bernedo/País Vasco,Bernedo/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01220,Armiñón,Armiñón,Álava,Áraba,País Vasco,País Vasco,Armiñón/Álava,Armiñón/Áraba,Armiñón/País Vasco,Armiñón/País Vasco,Armiñón/Álava,Armiñón/Áraba,Armiñón/País Vasco,Armiñón/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01230,Iruña de Oca,Iruña Oka,Álava,Áraba,País Vasco,País Vasco,Iruña de Oca/Álava,Iruña de Oca/Áraba,Iruña de Oca/País Vasco,Iruña de Oca/País Vasco,Iruña Oka/Álava,Iruña Oka/Áraba,Iruña Oka/País Vasco,Iruña Oka/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01240,Alegría-Dulantzi,Alegría-Dulantzi,Álava,Áraba,País Vasco,País Vasco,Alegría-Dulantzi/Álava,Alegría-Dulantzi/Áraba,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/Álava,Alegría-Dulantzi/Áraba,Alegría-Dulantzi/País Vasco,Alegría-Dulantzi/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01250,Asparrena,Asparrena,Álava,Áraba,País Vasco,País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01260,Asparrena,Asparrena,Álava,Áraba,País Vasco,País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Asparrena/Álava,Asparrena/Áraba,Asparrena/País Vasco,Asparrena/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01300,Laguardia,Laguardia,Álava,Áraba,País Vasco,País Vasco,Laguardia/Álava,Laguardia/Áraba,Laguardia/País Vasco,Laguardia/País Vasco,Laguardia/Álava,Laguardia/Áraba,Laguardia/País Vasco,Laguardia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01306,Lapuebla de Labarca,Lapuebla de Labarca,Álava,Áraba,País Vasco,País Vasco,Lapuebla de Labarca/Álava,Lapuebla de Labarca/Áraba,Lapuebla de Labarca/País Vasco,Lapuebla de Labarca/País Vasco,Lapuebla de Labarca/Álava,Lapuebla de Labarca/Áraba,Lapuebla de Labarca/País Vasco,Lapuebla de Labarca/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01307,Baños de Ebro,Mañueta,Álava,Áraba,País Vasco,País Vasco,Baños de Ebro/Álava,Baños de Ebro/Áraba,Baños de Ebro/País Vasco,Baños de Ebro/País Vasco,Mañueta/Álava,Mañueta/Áraba,Mañueta/País Vasco,Mañueta/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01308,Kripan,Kripan,Álava,Áraba,País Vasco,País Vasco,Kripan/Álava,Kripan/Áraba,Kripan/País Vasco,Kripan/País Vasco,Kripan/Álava,Kripan/Áraba,Kripan/País Vasco,Kripan/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01309,Elvillar,Bilar,Álava,Áraba,País Vasco,País Vasco,Elvillar/Álava,Elvillar/Áraba,Elvillar/País Vasco,Elvillar/País Vasco,Bilar/Álava,Bilar/Áraba,Bilar/País Vasco,Bilar/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01320,Oyón-Oion,Oyón-Oion,Álava,Áraba,País Vasco,País Vasco,Oyón-Oion/Álava,Oyón-Oion/Áraba,Oyón-Oion/País Vasco,Oyón-Oion/País Vasco,Oyón-Oion/Álava,Oyón-Oion/Áraba,Oyón-Oion/País Vasco,Oyón-Oion/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01321,Laguardia,Laguardia,Álava,Áraba,País Vasco,País Vasco,Laguardia/Álava,Laguardia/Áraba,Laguardia/País Vasco,Laguardia/País Vasco,Laguardia/Álava,Laguardia/Áraba,Laguardia/País Vasco,Laguardia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01322,Moreda de Álava,Moreda Araba,Álava,Áraba,País Vasco,País Vasco,Moreda de Álava/Álava,Moreda de Álava/Áraba,Moreda de Álava/País Vasco,Moreda de Álava/País Vasco,Moreda Araba/Álava,Moreda Araba/Áraba,Moreda Araba/País Vasco,Moreda Araba/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01330,Labastida,Bastida,Álava,Áraba,País Vasco,País Vasco,Labastida/Álava,Labastida/Áraba,Labastida/País Vasco,Labastida/País Vasco,Bastida/Álava,Bastida/Áraba,Bastida/País Vasco,Bastida/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01340,Elciego,Elciego,Álava,Áraba,País Vasco,País Vasco,Elciego/Álava,Elciego/Áraba,Elciego/País Vasco,Elciego/País Vasco,Elciego/Álava,Elciego/Áraba,Elciego/País Vasco,Elciego/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01400,Llodio,Laudio,Álava,Áraba,País Vasco,País Vasco,Llodio/Álava,Llodio/Áraba,Llodio/País Vasco,Llodio/País Vasco,Laudio/Álava,Laudio/Áraba,Laudio/País Vasco,Laudio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01408,Ayala,Aiara,Álava,Áraba,País Vasco,País Vasco,Ayala/Álava,Ayala/Áraba,Ayala/País Vasco,Ayala/País Vasco,Aiara/Álava,Aiara/Áraba,Aiara/País Vasco,Aiara/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01409,Okondo,Okondo,Álava,Áraba,País Vasco,País Vasco,Okondo/Álava,Okondo/Áraba,Okondo/País Vasco,Okondo/País Vasco,Okondo/Álava,Okondo/Áraba,Okondo/País Vasco,Okondo/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01420,Ribera Alta,Erriberagoitia,Álava,Áraba,País Vasco,País Vasco,Ribera Alta/Álava,Ribera Alta/Áraba,Ribera Alta/País Vasco,Ribera Alta/País Vasco,Erriberagoitia/Álava,Erriberagoitia/Áraba,Erriberagoitia/País Vasco,Erriberagoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01423,Ribera Alta,Erriberagoitia,Álava,Áraba,País Vasco,País Vasco,Ribera Alta/Álava,Ribera Alta/Áraba,Ribera Alta/País Vasco,Ribera Alta/País Vasco,Erriberagoitia/Álava,Erriberagoitia/Áraba,Erriberagoitia/País Vasco,Erriberagoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01426,Ribera Alta,Erriberagoitia,Álava,Áraba,País Vasco,País Vasco,Ribera Alta/Álava,Ribera Alta/Áraba,Ribera Alta/País Vasco,Ribera Alta/País Vasco,Erriberagoitia/Álava,Erriberagoitia/Áraba,Erriberagoitia/País Vasco,Erriberagoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01427,Valdegovía,Gaubea,Álava,Áraba,País Vasco,País Vasco,Valdegovía/Álava,Valdegovía/Áraba,Valdegovía/País Vasco,Valdegovía/País Vasco,Gaubea/Álava,Gaubea/Áraba,Gaubea/País Vasco,Gaubea/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01428,Ribera Alta,Erriberagoitia,Álava,Áraba,País Vasco,País Vasco,Ribera Alta/Álava,Ribera Alta/Áraba,Ribera Alta/País Vasco,Ribera Alta/País Vasco,Erriberagoitia/Álava,Erriberagoitia/Áraba,Erriberagoitia/País Vasco,Erriberagoitia/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01430,Kuartango,Kuartango,Álava,Áraba,País Vasco,País Vasco,Kuartango/Álava,Kuartango/Áraba,Kuartango/País Vasco,Kuartango/País Vasco,Kuartango/Álava,Kuartango/Áraba,Kuartango/País Vasco,Kuartango/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01439,Kuartango,Kuartango,Álava,Áraba,País Vasco,País Vasco,Kuartango/Álava,Kuartango/Áraba,Kuartango/País Vasco,Kuartango/País Vasco,Kuartango/Álava,Kuartango/Áraba,Kuartango/País Vasco,Kuartango/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01440,Urkabustaiz,Urkabustaiz,Álava,Áraba,País Vasco,País Vasco,Urkabustaiz/Álava,Urkabustaiz/Áraba,Urkabustaiz/País Vasco,Urkabustaiz/País Vasco,Urkabustaiz/Álava,Urkabustaiz/Áraba,Urkabustaiz/País Vasco,Urkabustaiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01449,Urkabustaiz,Urkabustaiz,Álava,Áraba,País Vasco,País Vasco,Urkabustaiz/Álava,Urkabustaiz/Áraba,Urkabustaiz/País Vasco,Urkabustaiz/País Vasco,Urkabustaiz/Álava,Urkabustaiz/Áraba,Urkabustaiz/País Vasco,Urkabustaiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01450,Amurrio,Amurrio,Álava,Áraba,País Vasco,País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01468,Amurrio,Amurrio,Álava,Áraba,País Vasco,País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01470,Amurrio,Amurrio,Álava,Áraba,País Vasco,País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Amurrio/Álava,Amurrio/Áraba,Amurrio/País Vasco,Amurrio/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
