CODCNH	NOMBRE	DIRECCION	TELEFONO	TELEFONO2	TELEFAX	CODMU	MUNICIPIOS	CODPROV	PROVINCIAS	CODAUTO	COMUNIDADES	CODPOSTAL	NCAMAS	CODFI	FINALIDAD ASISITENCIAL	CODPAT	DEPENDENCIA PATRIMONIAL	CODFU	DEPENDENCIA FUNCIONAL	ACREDOCENT	ESCOMPLE	FORCOMPLE	CODIDCOM	ALTA	CERRADO	CAPITAL	CIERREFECH	CONCIERTO	EMAIL	TAC	RM	GAM	HEM	ASD	LIT	BCO	ALI	SPECT	PET	MAMOS	DO	DIAL
030250	HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE	CARRETERA NACIONAL 332, ALICANTE-VALENCIA, S/N	965169400		965169520	031199	Sant Joan d'Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03550	396	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	fernandez_asu@gva.es	2	0	2	1	0	0	0	2	0	0	1	0	0
030279	CENTRO MêDICO ACUARIO	AVENIDA DEL VERGEL, 11	966476260		966477115	030263	Beniarbeig	03	ALICANTE	10	COMUNIDAD VALENCIANA	03778	19	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		S	N	N		N	acuario@acuario.org	1	0	0	0	0	0	0	0	0	0	1	1	0
030298	HOSPﬁTAL QUIRONSALUD TORREVIEJA	PARTIDA DE LA LOMA, S/N	966921313		966922706	031339	Torrevieja	03	ALICANTE	10	COMUNIDAD VALENCIANA	03184	132	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		S	antonio.domenech@quironsalud.es	2	1	1	1	0	0	0	1	0	1	1	1	0
030328	HOSPITAL IMED LEVANTE	CALLE DR SANTIAGO RAM‡N Y CAJAL, 7	966878787	966878783	965861756	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03503	100	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	info@hospitaldelevante.com	1	1	1	1	1	0	0	0	0	0	1	1	15
030339	HOSPITAL UNIVERSITARIO DE TORREVIEJA	CARRETERA CV95 SAN MIGUEL DE SALINAS-TORREVIEJA PARTIDA LA CE•UELA, S/N	965721200		965721368	031339	Torrevieja	03	ALICANTE	10	COMUNIDAD VALENCIANA	03186	269	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	jdzafrilla@torrevieja-salud.com	1	1	0	1	0	0	0	0	0	0	1	1	40
030340	HOSPITAL DE DENIA	PARTIDA BENIADL∑, S/N	966429000		966427986	030633	DÇnia	03	ALICANTE	10	COMUNIDAD VALENCIANA	03700	266	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	gerencia@marinasalud.es	2	1	0	1	1	0	0	0	0	0	1	1	26
030351	HOSPITAL LA PEDRERA	PARTIDA PLANA D'EST, 4	966467170	966467177	966467287	030633	DÇnia	03	ALICANTE	10	COMUNIDAD VALENCIANA	03700	107	13	GERIATR÷A Y/O LARGA ESTANCIA	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	N	N	N		N	N	N		N	direccion_hlapedrera@gva.es	1	0	0	0	0	0	0	0	0	0	0	0	0
030362	CENTRO DE REHABILITACI‡N NEUROL‡GICA CASAVERDE	CALLE PONENT, 15	965950711		965950865	030909	Mutxamel	03	ALICANTE	10	COMUNIDAD VALENCIANA	03110	40	11	REHABILITACI‡N PSICOF÷SICA	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		N	recepcion.muchamiel@grupocasaverde.com	0	0	0	0	0	0	0	0	0	0	0	0	0
030373	HOSPITAL UNIVERSITARIO VINALOPO	TONICO SANSANO MORA, 14	966679800		966632102	030651	Elche/Elx	03	ALICANTE	10	COMUNIDAD VALENCIANA	03293	214	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	N	N	N		N	N	N		N	narques@vinaloposalud.com	1	1	0	1	2	1	0	0	1	1	1	1	27
030384	HOSPITAL IMED ELCHE	CALLE MAX PLANCK, S/N	966915151	966878783	966651341	030651	Elche/Elx	03	ALICANTE	10	COMUNIDAD VALENCIANA	03203	98	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		S	oaparisi@imedhospitales.com	1	1	0	1	1	1	0	1	0	0	1	1	0
040010	HOSPITAL TORRECµRDENAS	PARAJE DE TORRECµRDENAS, S/N	950016114		950016120	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04009	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	2	SERVICIO ANDALUZ DE SALUD	S	N	S	040097	N	S	S		N	anna.torres.sspa@juntadeandalucia.es	0	0	0	0	0	0	0	0	0	0	0	0	0
040031	HOSPITAL DE LA CRUZ ROJA	CTRA. DE RONDA, KM. 196	950017400		950017453	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04008	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	2	SERVICIO ANDALUZ DE SALUD	N	N	S	040097	N	N	S		N	anna.torres.sspa@juntadeandalucia.es	0	0	0	0	0	0	0	0	0	0	0	0	0
040059	HOSPITAL VIRGEN DEL MAR	CARRETERA DEL MAM÷, KM.1	950210100		950290625	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04009	76	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	virgendelmar@vithas.es	1	1	1	1	0	1	0	0	0	0	1	1	10
040084	HOSPITAL LA INMACULADA	AVDA. DRA. ANA PARRA, S/N	950029176		950451040	040530	HuÇrcal-Overa	04	ALMER÷A	01	ANDALUC÷A	04600	184	1	GENERAL	6	COMUNIDAD AUT‡NOMA	2	SERVICIO ANDALUZ DE SALUD	S	N	N		N	N	N		N	h.inmaculada.sspa@juntadeandalucia.es	1	0	0	0	0	0	0	0	0	0	1	0	1
040097	HOSPITAL UNIVERSITARIO TORRECµRDENAS	PARAJE DE TORRECµRDENAS, S/N	950016114		950016120	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04009	763	1	GENERAL	6	COMUNIDAD AUT‡NOMA	2	SERVICIO ANDALUZ DE SALUD	S	S	N		N	N	S		N		5	1	2	0	2	0	1	2	0	0	1	2	56
040101	HOSPITAL MEDITERRµNEO	NUEVA MUSA, S/N	950621063		950260894	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04007	89	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	jarojas@asisa.es	1	2	0	1	0	0	0	0	0	0	1	1	0
040118	HOSPITAL DE PONIENTE	CRTA. DE ALMERIMAR, S/N	950022568		950022602	049026	Ejido, El	04	ALMER÷A	01	ANDALUC÷A	04700	273	1	GENERAL	6	COMUNIDAD AUT‡NOMA	2	SERVICIO ANDALUZ DE SALUD	N	N	N		N	N	N		N	sugerencias@ephpo.es	1	1	0	0	0	0	0	0	0	0	2	0	20
040127	HOSPITAL DE ALTA RESOLUCI‡N EL TOYO	CAMINO DE LA BOTICA S/N. RETAMAR	950158015		950158020	040139	Almer°a	04	ALMER÷A	01	ANDALUC÷A	04131	44	1	GENERAL	6	COMUNIDAD AUT‡NOMA	15	COMUNIDAD AUT‡NOMA	N	N	N		N	N	S		N	sugerencias@ephpo.es	1	0	0	0	0	0	0	0	0	0	1	0	0
050013	HOSPITAL NUESTRA SE•ORA DE SONSOLES	AV. JUAN CARLOS I, S/N	920358000		920358064	050198	µvila	05	µVILA	07	CASTILLA Y LE‡N	05071	0	1	GENERAL	1	SEGURIDAD SOCIAL	35	SANIDAD CASTILLA Y LE‡N-SACYL	S	N	S	050061	N	N	S		N	gerente.hnss@saludcastillayleon.es	0	0	0	0	0	0	0	0	0	0	0	0	0
050034	HOSPITAL PROVINCIAL DE µVILA	JESÈS DEL GRAN PODER, 42	920357200		920357203	050198	µvila	05	µVILA	07	CASTILLA Y LE‡N	05003	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	35	SANIDAD CASTILLA Y LE‡N-SACYL	N	N	S	050061	N	N	S		N	gerente.hnss@saludcastillayleon.es	0	0	0	0	0	0	0	0	0	0	0	0	0
050049	CL÷NICA SANTA TERESA	AV. SANTA CRUZ DE TENERIFE, 11	920252525	920221450	920222342	050198	µvila	05	µVILA	07	CASTILLA Y LE‡N	05005	33	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	direccion@clinicasantateresa.es	1	1	0	0	0	0	0	0	0	0	1	1	0
050061	COMPLEJO ASISTENCIAL DE AVILA	AVDA. JUAN CARLOS I, S/N	920358000		920358064	050198	µvila	05	µVILA	07	CASTILLA Y LE‡N	05071	430	1	GENERAL	9	ENTIDADES PÈBLICAS	35	SANIDAD CASTILLA Y LE‡N-SACYL	S	S	N		N	N	S		N	gerente.hnss@saludcastillayleon.es	2	1	0	0	1	0	0	0	0	0	2	1	19
050072	HOSPITAL DE SALUD MENTAL CASTA SALUD ARêVALO	PASEO SAN JUAN BOSCO, 2	920301400	609196989	920300951	050163	ArÇvalo	05	µVILA	07	CASTILLA Y LE‡N	05200	80	6	PSIQUIµTRICO	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		S	N	N		S	direccionarevalo@castasalud.com	0	0	0	0	0	0	0	0	0	0	0	0	0
060016	COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ	AVDA. DE ELVAS, S/N	924218100	924218111	924218126	060153	Badajoz	06	BADAJOZ	11	EXTREMADURA	06080	915	1	GENERAL	6	COMUNIDAD AUT‡NOMA	32	SERVICIO EXTREME•O DE SALUD-SES	S	S	N		N	N	S		N	admision.hifc@salud-juntaex.es	6	3	0	2	2	0	0	3	3	1	2	1	50
060021	HOSPITAL UNIVERSITARIO DE BADAJOZ	AVDA. DE ELVAS, S/N	924218100	924218111	924218126	060153	Badajoz	06	BADAJOZ	11	EXTREMADURA	06080	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	32	SERVICIO EXTREME•O DE SALUD-SES	S	N	S	060016	N	N	S		N	admision.hifc@salud-juntaex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060037	HOSPITAL MATERNO INFANTIL	LA VIOLETA, 1	924215000		924215054	060153	Badajoz	06	BADAJOZ	11	EXTREMADURA	06010	0	5	MATERNO-INFANTIL	6	COMUNIDAD AUT‡NOMA	32	SERVICIO EXTREME•O DE SALUD-SES	S	N	S	060016	N	N	S		N	dirmed.hpshmi@salud-juntaex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060080	"HOSPITAL ""FUNDACI‡N SAN JUAN DE DIOS DE EXTREMADURA"""	PASEO DE LA PIEDAD, 5	924670017	924670018	924662805	060114	Almendralejo	06	BADAJOZ	11	EXTREMADURA	06200	105	13	GERIATR÷A Y/O LARGA ESTANCIA	12	PRIVADO-BENêFICO (IGLESIA)	21	PRIVADO-BENêFICO (IGLESIA)	N	N	N		N	N	N		S	almendralejosjd.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060093	HOSPITAL DON BENITO-VILLANUEVA DE LA SERENA	CTRA. DON BENITO-VILLANUEVA DE LA SERENA, KM. 3	924386800		924386801	060444	Don Benito	06	BADAJOZ	11	EXTREMADURA	06400	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	32	SERVICIO EXTREME•O DE SALUD-SES	S	N	S	060253	N	N	N		N	ricardo.sanchez@salud-juntaex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060114	HOSPITAL GENERAL DE LLERENA	AVDA. BADAJOZ, 1	924877000		924870926	060747	Llerena	06	BADAJOZ	11	EXTREMADURA	06900	0	1	GENERAL	1	SEGURIDAD SOCIAL	32	SERVICIO EXTREME•O DE SALUD-SES	S	N	S	060219	N	N	N		N	gerente.llerena@salud-juntaex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060129	HOSPITAL DE MêRIDA	AVDA. ANTONIO CAMPOS HOYOS, Nß 26	924381000	924381002	924381012	060830	MÇrida	06	BADAJOZ	11	EXTREMADURA	06800	0	1	GENERAL	6	COMUNIDAD AUT‡NOMA	32	SERVICIO EXTREME•O DE SALUD-SES	S	N	S	060264	N	N	N		N	julian.garciam@salud-juntaex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060135	CENTRO SOCIOSANITARIO DE MêRIDA	CTRA. VALVERDE-MêRIDA, KM. 2	924388081		924388083	060830	MÇrida	06	BADAJOZ	11	EXTREMADURA	06800	270	6	PSIQUIµTRICO	6	COMUNIDAD AUT‡NOMA	15	COMUNIDAD AUT‡NOMA	S	N	N		N	N	N		N	csanitario.merida@gobex.es	0	0	0	0	0	0	0	0	0	0	0	0	0
060140	HOSPITAL QUIR‡NSALUD SANTA JUSTA	CONCEPCI‡N, 24	924840746		924847505	061535	Villanueva de la Serena	06	BADAJOZ	11	EXTREMADURA	06700	29	2	QUIRÈRGICO	8	MUNICIPIO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		S	serena@quironsalud.es	0	0	0	0	0	0	0	0	0	0	2	0	0
060172	HOSPITAL QUIRONSALUD CLIDEBA	ELADIO SALINERO DE LOS SANTOS, 6	924229050		924257859	060153	Badajoz	06	BADAJOZ	11	EXTREMADURA	06011	73	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	clideba@quironsalud.es	1	1	0	0	0	0	0	0	0	0	1	0	0
060188	HOSPITAL PARQUE VIA DE LA PLATA	CTRA. DE LOS SANTOS, S/N	924552755		924555388	061588	Zafra	06	BADAJOZ	11	EXTREMADURA	06300	9	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		S	dadministracion.ext@parquehospitales.es	0	1	0	0	0	0	0	0	0	0	1	1	0
