;Destino;Establecimiento;Oficio;;Localidad;Comunidad autónoma;Dirección;;Cód postal;;Correo Electrónico;Teléfono;Dir. WEB;Facebook;Twiter;;;Blogger;Youtube
;Águilas;PLAYA DE LAS DELICIAS;Playas;;Águilas;Región de Murcia;C/ Aire;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
;Águilas;Playa de Levante;Playas;;Águilas;Región de Murcia;Ayuntamiento de Águilas, Plaza de España, nº 14;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
;Águilas;Playa de Poniente;Playas;;Águilas;Región de Murcia;Ayuntamiento de Águilas, Plaza de España, nº 14;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
;Águilas;POLICIA LOCAL DE ÁGUILAS;Seguridad ciudadana;;Águilas;Región de Murcia;Plaza de España, nº 14;;30880;;;968493062;;;;;;;
;Águilas;Puerto Deportivo - Club Náutico de Águilas;Puertos Deportivos;;Águilas;Región de Murcia;Paseo de Parra, nº 44;;30880;;josemm@cnaguilas.com;968411951;www.cnaguilas.com;Club Náutico de Águilas;;;;;
;Águilas;PUERTO DEPORTIVO JUAN MONTIEL;Puertos Deportivos;;ÁGUILAS;Región de Murcia;AVDA. PUERTO DEPORTIVO, S/N;;30880;;prevencion@montielygarcia.com;968493271;www.puertodeportivojuanmontiel.es;puerto deportivo juan montiel;;;;;puerto deportivo juan montiel
;Águilas;RESTAURANTE LA VELETA;Restaurantes y empresas turísticas de Catering;;Águilas;Región de Murcia;C/ Blas Rosique, 6 - BAJO;;30880;;restlaveleta@yahoo.es;968411798;;;;;;;
;Águilas;RESTAURANTE MARI LUZ;Restaurantes y empresas turísticas de Catering;;Águilas;Región de Murcia;Ctra. De Vera, KM 3;;30880;;restaurantemariluz@hotmail.com;968412746;;;;;;;
;Águilas;Siroli;Comercios;;Águilas;Región de Murcia;Rey Carlos III, 18;;30880;;siroli.ana@gmail.com;968448819;;siroli lenceria corseteria;#lenceria corseteria;;;;
;Águilas;SURESTE INCOMING;Agencias de viajes;;Águilas;Región de Murcia;C/ Conde de Aranda, 4 - bajo 4;;30880;;booking@suresteincoming.com;868975056;www.suresteincoming.com;https://www.facebook.com/SuresteIncomingDMC;;;;;
;Águilas;TAXI ÁGUILAS;Taxis;;Águilas;Región de Murcia;Martínez Parra 15, 1ºA;;30880;;gonzalo@taxiaguilas.es;609177741;http://www.taxiaguilas.es;https://www.facebook.com/TAXIAGUILAS;https://twitter.com/taxiaguilas;;;http://taxiaguilas.blogspot.com.es/;
;Águilas;VICTORIA TRAVEL;Agencias de viajes;;ÁGUILAS;Región de Murcia;C/ ISABEL LA CATÓLICA, Nº1 - BAJO;;30880;;info@victoriatravel.net;968414752;;;;;;;
;Águilas;Zapatería Pepe García;Comercios;;Águilas;Región de Murcia;C/Blas Rosique Blaya, nº 5;;30880;;zapateriapepe@gmail.com;968414345;;;;;;;
;Águilas;Zoco del Mar;Bares y cafeterías;;Águilas;Región de Murcia;Explanada del Castillo, s/n, 30880 Águilas;;30880;;info@aguilasst.com;658017357;www.zocodelmar.es;www.facebook.com/zocodelmar;https://twitter.com/zocodelmar;;;;
;Aiaraldea;Arenalde Maitea;Restaurantes y empresas turísticas de Catering;;Amurrio;Euskadi-País Vasco;Cerrajeria nº 1;;01470;;arenaldemaitea@arenaldemaitea.com;945892426;www.arenaldemaitea.com;;;;;;
;Aiaraldea;Artomaña Txakolina;Bodegas;;Artomaña-Amurrio;Euskadi-País Vasco;Masalarreina s/n - Artomaña;;01468;;artomaina@euskalnet.net;645713355;www.eukeni.net;;;;;;
;Aiaraldea;Artziniega Museoa;Museos y centros de interés turístico visitable;;Artziniega;Euskadi-País Vasco;ARTEKO ALDAPA 2;;01474;;artadisc@yahoo.es;945396210;;;;;;;
;Aiaraldea;Arzabro Txakolina;Bodegas;;Delika;Euskadi-País Vasco;Bº URRUTI 85;;01468;;info@arzabrotxakolina.com;649390942;www.arzabrotxakolina.com;;;;;;
;Aiaraldea;Azoka;Bares y cafeterías;;Llodio;Euskadi-País Vasco;PLAZA ALBERTO ACERO 13;;01400;;azokakafebar@yahoo.es;946724213;;http://www.facebook.com/#!/profile.php?id=100003166994864;;;;;
;Aiaraldea;Balintxarreketa;Restaurantes y empresas turísticas de Catering;;Llodio;Euskadi-País Vasco;Camino Malkuartu,1;;01400;;info@restaurantebalintxarreketa.com;946724350;www.restaurantebalintxarreketa.com;;;;;;
;Aiaraldea;Beldui Txakolina;Bodegas;;Laudio/Llodio;Euskadi-País Vasco;Beldui baserria,1 (Gardea);;01400;;enoturismobeldui@gmail.com;946728148;w.w.w.beldui.com;;;;;;
;Aiaraldea;Caserio Iruaritz;Alojamientos rurales;;Amurrio;Euskadi-País Vasco;Bº San Prudencio, 29 -Lezama;;01470;;iruaritz@euskalnet.net;945892676;www.grupolezama.es;;;;;;
;Aiaraldea;Garabilla;Alojamientos rurales;;Llanteno;Euskadi-País Vasco;Bº GARABILLA 18;;01478;;casaruralgarabilla@gmail.com;616138449;casaruralgarabilla.com;https://es-es.facebook.com/pages/Casa-Rural-Garabilla/380023975364904;;;;;
;Aiaraldea;Gorbea Bar Café;Bares y cafeterías;;Laudio-Llodio;Euskadi-País Vasco;Ugarte, 1;;01400;;sallengorbea@gmail.com;94 672 29 75;;;;;;;
;Aiaraldea;Gure Ahaleginak;Bodegas;;Orduña-Urduña;Euskadi-País Vasco;Bº Ibazurra,1;;48460;;maitedurana@gureahaleginak.com;945384126;www.gureahaleginak.com;;;;;;
;Aiaraldea;Ibarrondo Jatetxea;Restaurantes y empresas turísticas de Catering;;Murga;Euskadi-País Vasco;AIARALAKO INDUSTRIALDEA 7;;01479;;info@ibarrondojatetxea.com;945399473;www.ibarrondojatetxea.com;;;;;;
;Aiaraldea;Iluntze Kafe;Bares y cafeterías;;Llodio;Euskadi-País Vasco;Avda. Zumalakarregi, nº 47;;01400;;iluntzekafe@gmail.com;946725023;iluntzekafe.com;Iluntze Kafe;Iluntze Kafe;;;;
;Aiaraldea;Izoria Quesería;Artesanos;;IZORIA;Euskadi-País Vasco;Bº IBARRA, 27;;01479;;leireibarrola@hotmail.com;945399138;izoriagaztak.com;Izoria Valle DE Ayala;IZORIAValleAyala;;;aiaraldeasostenible.blogspot.com;
;Aiaraldea;Mendieta Etxea;Alojamientos rurales;;Menagarai-Ayala;Euskadi-País Vasco;Bº Mendieta etxea;;01477;;mendietaetxea@gmail.com;945399447;www.mendietaetxea.com;;;;;;
;Aiaraldea;Odeibar;Restaurantes y empresas turísticas de Catering;;Llodio;Euskadi-País Vasco;ALDAPETA, 2 - 1º BAJO;;01400;;batzokilaudio@gmail.com;658735465;;;;;;;
;Aiaraldea;Oficina Comarcal de Turismo, Llodio;Oficinas de información turística;;Laudio/Llodio;Euskadi-País Vasco;Parque Lamuza, s/n;;01400;;oficinadeturismo@laudiokoudala.net;Tf: 944 034 930;www.aiaraldea.org;https://es-es.facebook.com/pages/AIARALDEA/120463307978580;https://twitter.com/aiaratur;;;;http://www.youtube.com/user/aiaratur
;Aiaraldea;Oficina de Turismo de Amurrio;Oficinas de información turística;;Amurrio;Euskadi-País Vasco;Aldai,1 bajo.;;01470;;turismo@amurrio.org;Tf: 945393704 /;http://turismo.amurrio.org/;https://www.facebook.com/amurrio.bidean;https://twitter.com/amurriobidean;;;;http://www.youtube.com/user/AmurrioBidean
;Aiaraldea;Oficina de Turismo de Ayala;Oficinas de información turística;;Quejana- Ayala;Euskadi-País Vasco;Conjunto Monumental de Quejana (Museo de Arte Sacro);;01477;;turismo.ayala@gmail.com;945399414;www.aiaraldea.org;;;;;;
;Aiaraldea;Oficina de turismo de Orduña;Oficinas de información turística;;Orduña-Urduña;Euskadi-País Vasco;Foru plaza,9 - bajo;;48460;;turismo@urduna.com;945384384;/www.urduna.com;SI;;;;;
;Aiaraldea;Onieva Autobuses;Empresas de transporte turístico;;Llodio;Euskadi-País Vasco;VIRGEN DEL CARMEN, 27 1ºG;;01400;;i.onieva@hotmail.com;946726445;onieva.com;;;;;;
;Aiaraldea;Rincón de Aiara Apartamentos Rurales;Hoteles y apartamentos turísticos;;Menagarai - Ayala;Euskadi-País Vasco;Bº Mendieta ,75.;;01477;;info@rincondeaiara.com;945399020;www.rincondeaiara.com;;;;;;
;Aiaraldea;Santamaría Embutidos;Comercios;;Laudio-Llodio;Euskadi-País Vasco;Pio XII;;01400;;jagoba@morcillasdellodio.com;946720435;;;;;;;
;Aiaraldea;Santxotena Taller Museo;Museos y centros de interés turístico visitable;;Artziniega;Euskadi-País Vasco;Bº BARRATAGUREN, 2 - A;;01474;;tlafragua@santxotena.org;945396664;;;;;;;
;Aiaraldea;Señorío de Astobiza;Bodegas;;Okondo;Euskadi-País Vasco;Caserio Aretxabala, Bº Jandiola 16;;01409;;comercial@senoriodeastobiza.com;Tf: 945 898 516;www.senoriodeastobiza.com;https://www.facebook.com/senoriodeastobiza?fref=ts;;;;;http://www.youtube.com/user/okendotxakolina?feature=watch
;Aiaraldea;Torre de Artziniega;Hoteles y apartamentos turísticos;;Artziniega;Euskadi-País Vasco;Cuesta Luciano s/n;;01474;;hotel@torredeartziniega.net;945396500;www.torredeartziniega.net;;;;;;
;Alba de Tormes;Hotel Don Fadrique;Hoteles y apartamentos turísticos;;Alba de Tormes;Castilla y León;Crta. Salamanca-Alba, km 17;;37800;;calixto.mellen@segittur.es;923 37 00 76;;;;;;;
;Alba de Tormes;Oficina de información turística;Oficinas de información turística;;Alba de Tormes;Castilla y León;Plaza Mayor, nº 1;;37800;;calixto.mellen@segittur.es;923 30 00 24;www.villaalbadetormes.com;www.facebook.com/AlbaTurismo;;;;;
;Alcalá de Henares;101-Yepa-Luca More Oulet;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 83;;28801;;remayor@telefonica.net;91 883 17 84;;;;;;;
;Alcalá de Henares;AC Alcalá;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Octavio Paz, 25;;28805;;direc.acalcala@ac-hotels.com;91 802 39 70;;;;;;;
;Alcalá de Henares;Alcalá Bikes;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Teniente Ruiz, 2;;28805;;guibriones@gmail.com;640004740;;;;;;;
;Alcalá de Henares;Alcalá Radio-Taxi Scoop;Taxis;;Alcalá de Henares;Comunidad de Madrid;Centro Comercial Los Pinos Locales 30-31;;28805;;administracion@alcalaradiotaxi.com;918820897;;;;;;;
;Alcalá de Henares;Alcalingua;Escuelas de español para extranjeros;;Alcalá de Henares;Comunidad de Madrid;Plaza de los Irlandeses;;28801;;gabino@alcalingua.com;91 881 23 78;;;;;;;
;Alcalá de Henares;Alcaravea Garena;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Avda. Juan Carlos I, 13;;28806;;alcaravea@alcaravea.com;91 830 54 30;;;;;;;
;Alcalá de Henares;Berakah;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle San Felipe Neri, 3 Local;;28801;;berakahalcala@gmail.com;91 879 80 52;;;;;;;
;Alcalá de Henares;Casa de Hippolytus;Museos y centros de interés turístico visitable;;Alcalá de Henares;Comunidad de Madrid;Avda. de Madrid, 11;;28806;;srascon@ayto-alcaladehenares.es;91 877 17 50;;;;;;;
;Alcalá de Henares;Centro de Interpretación Burgo de Santiuste;Museos y centros de interés turístico visitable;;Alcalá de Henares;Comunidad de Madrid;Calle Cardenal Sandoval y Rojas, 3;;28801;;srascon@ayto-alcaladehenares.es;91 880 18 41;;;;;;;
;Alcalá de Henares;Centro de Interpretación Los Universos de Cervantes;Museos y centros de interés turístico visitable;;Alcalá de Henares;Comunidad de Madrid;Plaza de Cervantes s/n;;28801;;ccultura@ayto-alcaladehenares.es;91 8771930;;;;;;;
;Alcalá de Henares;Cervantalia Turismo Teatral;Otros Servicios;;Alcalá de Henares;Comunidad de Madrid;Calle Victoria 50;;28805;;cervantalia@cervantalia.com;647702663;;;;;;;
;Alcalá de Henares;Cerveceria El Hidalgo;Bares y cafeterías;;Alcalá de Henares;Comunidad de Madrid;C/Bedel, 3;;28801;;;627 21 57 06;;;;;;;
;Alcalá de Henares;Ciudad Romana de Complutum Centro de Interpretación;Museos y centros de interés turístico visitable;;Alcalá de Henares;Comunidad de Madrid;Camino del Juncal s/n;;28806;;srascon@ayto-alcaladehenares.es;918771750;;;;;;;
;Alcalá de Henares;Cuentas con Arte;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 38 bis;;28801;;aura-vi3000@hotmail.com;91 883 15 54;;;;;;;
;Alcalá de Henares;Cultur Alcalá;Guías turísticos;;Alcalá de Henares;Comunidad de Madrid;C/José Luis Azorín nº 61 Portal 1 4º A;;28806;;nuria.barrios@cultur-alcala.com;686 29 51 73;;;;;;;
;Alcalá de Henares;El Encin Golf;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Ctra. Nacional II Salida 34 Km. 35.600;;28805;;direccion@encingolf.com;91 830 70 69;;;;;;;
;Alcalá de Henares;Enamorarte Alcalá;Guías turísticos;;Alcalá de Henares;Comunidad de Madrid;C/Trinidad nº 10;;28801;;infovisitas@enamorartealcala.com;661 441 578;;;;;;;
;Alcalá de Henares;Esencias del Gourmet;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 52;;28801;;info@esenciasdelgourmet.es;918200401;;;;;;;
;Alcalá de Henares;Evenia Boutique Hotel;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Cardenal Cisneros, 22;;28801;;efernandez@eveniahotels.com;91 882 02 95;;;;;;;
;Alcalá de Henares;Francesco´s Pizza;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Calle Libreros, 15;;28801;;frranks@hotmail.com;625326368;;;;;;;
;Alcalá de Henares;Free-TaxiAlcala;Taxis;;Alcalá de Henares;Comunidad de Madrid;C/Baezula, 8;;28806;;logisticalrh@hotmail.com;658 774 191;;;;;;;
;Alcalá de Henares;Fundación General de la Universidad-Dpto. Congresos (OPC);OPC's;;Alcalá de Henares;Comunidad de Madrid;Calle Imagen 1-3;;28801;;jesus@fgua.es;918797430;;;;;;;
;Alcalá de Henares;Fundación Teatro de la Abadía Corral de Comedias de Alcalá;Otros Servicios;;Alcalá de Henares;Comunidad de Madrid;Plaza de Cervantes, 15;;28801;;secretaria@corraldealcala.com;918771950;;;;;;;
;Alcalá de Henares;Gestión de Turismo y Cultura de Alcalá de Henares S.L;Guías turísticos;;Alcalá de Henares ;Comunidad de Madrid;Plaza de Navarra 5 1º B escalera derecha;;28804;;e.perez@alcalaturismoymas.com;619289144;;;;;;;
;Alcalá de Henares;Glass Café Alcalá;Bares y cafeterías;;Alcalá de Henares;Comunidad de Madrid;Avd. Juan Carlos I, 13, Local 70;;28806;;robertogpozo@hotmail.com;696048702;;;;;;;
;Alcalá de Henares;Hemisferio Loft;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 4 Local 1 Corral de la Campaña;;28801;;info@laesquinacomplutense.com;91 877 03 12;;;;;;;
;Alcalá de Henares;Hostal Complutense;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Encomienda, 9;;28802;;consultas@hostalcomplutense.com;918823469;;;;;;;
;Alcalá de Henares;Hostal Cuatro Caños;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;C/Divino Figueroa, 10;;28801;;info@hostalalcala.com;91 881 38 44;;;;;;;
;Alcalá de Henares;Hostal Don Juan I-Apartamentos Don Juan;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Don Juan I, 9-11;;28803;;contacte@hostaldonjuani.com;918833484;;;;;;;
;Alcalá de Henares;Hostal EL Val;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;www.hostalelval.com;;28804;;teresaroalco@yahoo.es;918817520;;;;;;;
;Alcalá de Henares;Hostal Miguel de Cervantes;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Imagen 12;;28801;;hotel@hcervantes.es;918831277;;;;;;;
;Alcalá de Henares;Hostel Complutum;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Plaza de San Diego, 2;;28801;;raul.segura@telefonica.net;918800387;;;;;;;
;Alcalá de Henares;Hotel Alcalá Plaza;Hoteles y apartamentos turísticos;;Alcala de Henares;Comunidad de Madrid;Calle Hita, 4;;28805;;direccion@hotelalcalaplaza.com;91 878 34 00;;;;;;;
;Alcalá de Henares;Hotel Campanile;Hoteles y apartamentos turísticos;;Alcala de Henares;Comunidad de Madrid;Calle Fausto Elhuyar, 3;;28806;;manager.alcala@campanile.com;91 802 56 12;;;;;;;
;Alcalá de Henares;Hotel Ciudad de Alcalá;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Cánovas del Castillo, 4;;28805;;joseluismoreno70@gmail.com;918824745;;;;;;;
;Alcalá de Henares;Hotel El Bedel;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Plaza de San Diego, 6;;28801;;info@hotelelbedel.com;91 888 67 26;;;;;;;
;Alcalá de Henares;Hotel Ibis Budget Madrid Alcalá de Henares;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;A2, km.33;;28805;;mavillacampa@agphotels.com;918796850;;;;;;;
;Alcalá de Henares;Hotel Isla Garena;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Galileo Galilei, 18;;28806;;direccion@hotelislagarena.com;918781670;;;;;;;
;Alcalá de Henares;Ibis Madrid-Alcalá Garena;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Antonio Suarez;;28806;;mavillacampa@agphotels.com;91 879 61 81;;;;;;;
;Alcalá de Henares;Ki-Jote;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Vía Complutense, 42 Local 30;;28805;;info@ki-jote.com;652831015;;;;;;;
;Alcalá de Henares;La Casa Vieja;Restaurantes y empresas turísticas de Catering;;Alcala de Henares;Comunidad de Madrid;C/San Felipe Neri, 7;;28801;;info@rutadelosmesones.com;91 8836281;;;;;;;
;Alcalá de Henares;La Chinata;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor 31 Local;;28801;;oleotecaalcala@gmail.com;678 55 34 09;;;;;;;
;Alcalá de Henares;La Mar Salada Taberna del Norte;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;C/Santiago, 15;;28801;;contacto@marsalada.es;674 264 104;;;;;;;
;Alcalá de Henares;La Pizzeria;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Calle Diego de Torres, 2;;28801;;olibomb@hotmail.es;697 66 51 48;;;;;;;
;Alcalá de Henares;La posada de la Magistral;Hoteles y apartamentos turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle Tercia 8;;28801;;laposadamagistral@gmail.com;918778430;;;;;;;
;Alcalá de Henares;La Posada de la Parra;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;Plaza de los Irlandeses, 4;;28801;;laposadadelaparra@gmail.com;619 84 39 02;;;;;;;
;Alcalá de Henares;La Taberna de Rusty;Bares y cafeterías;;Alcalá de Henares;Comunidad de Madrid;Calle Tinte, 1;;28801;;tabernarusty@gmail.com;618 63 75 77;;;;;;;
;Alcalá de Henares;Las Viandas de Sancho;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 91 Local;;28801;;lasviandasdesancho@hotmail.com;91 028 10 30;;;;;;;
;Alcalá de Henares;Librería Cervantes;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Ramón y Cajal, 10;;28801;;javier@lalibreriadejavier.com;91 888 05 68;;;;;;;
;Alcalá de Henares;Lunares;Comercios;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 86;;28801;;lunaresdealcala@hotmail.es;91 877 87 21;;;;;;;
;Alcalá de Henares;Mamá Cecilia;Comercios;;Alcalá de Henares;Comunidad de Madrid;C/Mayor 92;;28801;;cyk.alcala@gmail.com;91 877 95 30;;;;;;;
;Alcalá de Henares;Manuel Granado Herreros;Guías turísticos;;Alcalá de Henares;Comunidad de Madrid;Calle La Isabel 1 5º C ;;28801;;info@tu-guia.es;646539603;;;;;;;
;Alcalá de Henares;Marisqueria Faro de Fisterra;Restaurantes y empresas turísticas de Catering;;Alcalá de Henares;Comunidad de Madrid;CC Garena Plaza, Locales 72 y 73 Avda. de Juan Carlos I, 13;;28806;;comercial@trattoriasabruzzi.es;629075296;;;;;;;
;Alcalá de Henares;Museo Casa Natal de Cervantes;Museos y centros de interés turístico visitable;;Alcalá de Henares;Comunidad de Madrid;Calle Mayor, 48;;28801;;museocasanataldecervantes@madrid.org;91 889 96 54;;;;;;;
;Alcalá de Henares;Mushka;Bares y cafeterías;;Alcalá de Henares;Comunidad de Madrid;c/Escritorios, 3;;28801;;albertoaraque@terra.es;696048702;;;;;;;
