
| IDCENTR |                        NOMBRE                         |  IDAREA   | IDZONAB | TIPOC |     DIRECCION     |     LOCALIDAD     |     TELEFONO      | ESDOCE |       CODMU       |        CP         |     D_GESTION     |   C_GESTION_ID    |
| 123613  | ZONA VII - FERIA                                      |      8882 |   21665 |     1 | C/ VIRGEN DEL     | ALBACETE          | 967503132         | N      |             20030 | 2006              | SERVICIO DE SALUD |                 1 |

| 127280  | ZONA VIII                                             |      8882 |   23078 |     1 | CL SAN JUAN, Nº   | ALBACETE          | 967502745         | S      |             20030 | 02006             | SERVICIO DE SALUD |                 1 |

| 132725  | ZONA IX                                               |      8882 |   25267 |     1 | CL TORRES         | ALBACETE          |                   | N      |             20030 | 02003             | SERVICIO DE SALUD |                 1 |

| 122591  | ALBATANA                                              |      8903 |   21684 |     2 | CL AMBULATORIO,   | ALBATANA          | 967323381         | N      |             20045 | 2653              | SERVICIO DE SALUD |                 1 |

| 122434  | ALBOREA                                               |      8882 |   21674 |     2 | C/ CASAS IBÁÑEZ,  | ALBOREA           | 967477273         | N      |             20058 | 2215              | SERVICIO DE SALUD |                 1 |

| 123614  | ATALAYA DE ALCADOZO                                   |      8882 |   21666 |     1 | Cl PEÑAS, Nº 29   | ALCADOZO          | 967291324         | N      |             20061 | 2124              | SERVICIO DE SALUD |                 1 |

| 122435  | ALCALÁ DEL JÚCAR                                      |      8882 |   21674 |     2 | C/ LA RAMBLA, S/N | ALCALÁ DEL JÚCAR  | 967473012         | N      |             20077 | 2210              | SERVICIO DE SALUD |                 1 |

| 122440  | CASAS DEL CERRO                                       |      8882 |   21674 |     2 | CTRA. DE ALBAULI, | CASAS DEL CERRO   | -                 | N      |             20077 | 2211              | SERVICIO DE SALUD |                 1 |

| 122442  | LAS ERAS                                              |      8882 |   21674 |     2 | C/ AVENIDA, S/N   | LAS ERAS          | -                 | N      |             20077 | 2214              | SERVICIO DE SALUD |                 1 |

| 122444  | LA GILA                                               |      8882 |   21674 |     2 | -                 | LA GILA           | -                 | N      |             20077 | 2211              | SERVICIO DE SALUD |                 1 |

| 122450  | ZULEMA                                                |      8882 |   21674 |     2 | C/ PLAZA, S/N     | ZULEMA            | -                 | N      |             20077 | 2214              | SERVICIO DE SALUD |                 1 |

| 123624  | ALCARAZ                                               |      8882 |   21667 |     1 | PS SAN FRANCISCO, | ALCARAZ           | 967380003         | N      |             20083 | 02300             | SERVICIO DE SALUD |                 1 |

| 123642  | EL JARDÍN                                             |      8882 |   21669 |     2 | CR JAÉN, S/N      | EL JARDÍN         | 967390007         | N      |             20083 | 02340             | SERVICIO DE SALUD |                 1 |

| 123637  | ALMANSA                                               |      8902 |   21668 |     1 | C/ SAN JUAN, S/N  | ALMANSA           | 967341954         | S      |             20096 | 02640             | SERVICIO DE SALUD |                 1 |

| 122414  | ALPERA                                                |      8902 |   21671 |     2 | C/ GARCÍA TREJO,  | ALPERA            | 967330312         | N      |             20100 | 2690              | SERVICIO DE SALUD |                 1 |

| 123615  | AYNA                                                  |      8882 |   21666 |     2 | CL MORAL, Nº 10   | AYNA              | 967295058         | N      |             20117 | 02125             | SERVICIO DE SALUD |                 1 |

| 123622  | ROYO-ODREA                                            |      8882 |   21666 |     2 | CL DE LA ESCUELA, | ROYO-ODREA        | -                 | N      |             20117 | 02125             | SERVICIO DE SALUD |                 1 |

| 123638  | BALAZOTE                                              |      8882 |   21669 |     1 | C/ CERVANTES, Nº  | BALAZOTE          | 967360037         | N      |             20122 | 2320              | SERVICIO DE SALUD |                 1 |

| 122436  | BALSA DE VES                                          |      8882 |   21674 |     2 | PLAZA CAUDILLO,   | BALSA DE VES      | 967476216         | N      |             20138 | 2214              | SERVICIO DE SALUD |                 1 |

| 122438  | CANTOBLANCO                                           |      8882 |   21674 |     2 | C/ BOLSA S/N      | CANTOBLANCO       | -                 | N      |             20138 | 2214              | SERVICIO DE SALUD |                 1 |

| 122446  | LA PARED                                              |      8882 |   21674 |     2 | C/ IGLESIA, S/N   | LA PARED          | -                 | N      |             20138 | 2213              | SERVICIO DE SALUD |                 1 |

| 122449  | EL VISO                                               |      8882 |   21674 |     2 | C/ BOLSA, S/N     | EL VISO           | -                 | N      |             20138 | 2214              | SERVICIO DE SALUD |                 1 |

| 122420  | EL BALLESTERO                                         |      8904 |   21672 |     2 | C/ TEATRO 13      | EL BALLESTERO     | 967384030         | N      |             20143 | 2614              | SERVICIO DE SALUD |                 1 |

| 122524  | BARRAX                                                |      8882 |   21680 |     2 | C/ GUERRA Y       | BARRAX            | 967365003         | N      |             20156 | 2639              | SERVICIO DE SALUD |                 1 |

| 123625  | BIENSERVIDA                                           |      8882 |   21667 |     2 | C/ PORVENIR, Nº   | BIENSERVIDA       | 967394058         | N      |             20169 | 2360              | SERVICIO DE SALUD |                 1 |

| 122410  | BOGARRA                                               |      8882 |   21670 |     1 | C/ CALVARIO, Nº   | BOGARRA           | 967290180         | N      |             20175 | 2130              | SERVICIO DE SALUD |                 1 |

| 122411  | LA DEHESA DE VAL                                      |      8882 |   21670 |     2 | -                 | LA DEHESA DE VAL  | -                 | N      |             20175 | 02138             | SERVICIO DE SALUD |                 1 |

| 122413  | BONETE                                                |      8902 |   21671 |     1 | AVDA. DE LA       | BONETE            | 967333011         | N      |             20181 | 2691              | SERVICIO DE SALUD |                 1 |

| 122419  | EL BONÍLLO                                            |      8904 |   21672 |     1 | CL REAL, Nº 2     | EL BONÍLLO        | 967370054         | N      |             20194 | 02610             | SERVICIO DE SALUD |                 1 |

| 122423  | CARCELÉN                                              |      8882 |   21673 |     2 | C/ CRISTO, Nº 105 | CARCELÉN          | 967403214         | N      |             20208 | 2153              | SERVICIO DE SALUD |                 1 |

| 122421  | CASAS DE JUAN NUÑEZ                                   |      8882 |   21673 |     1 | C/ TERESA COGOLLO | CASAS DE JUAN     | 967405088         | N      |             20215 | 2151              | SERVICIO DE SALUD |                 1 |

| 123640  | CASAS DE LÁZARO                                       |      8882 |   21669 |     2 | C/ HIGUERA, Nº 36 | CASAS DE LÁZARO   | 967358104         | N      |             20220 | 2329              | SERVICIO DE SALUD |                 1 |

| 122439  | CASAS DE VES                                          |      8882 |   21674 |     2 | C/ CLAUDIO        | CASAS DE VES      | 967475004         | N      |             20236 | 2212              | SERVICIO DE SALUD |                 1 |

| 122432  | CASAS IBÁÑEZ                                          |      8882 |   21674 |     1 | CTRA DE VALENCIA, | CASAS IBÁÑEZ      | 967461023         | N      |             20241 | 2200              | SERVICIO DE SALUD |                 1 |

| 122493  | CAUDETE                                               |      8902 |   21675 |     1 | AV VILLENA, Nº 7  | CAUDETE           | 965825335         | N      |             20254 | 02660             | SERVICIO DE SALUD |                 1 |

| 122531  | CENIZATE                                              |      8882 |   21681 |     2 | C/ LEDAÑA, Nº 1   | CENIZATE          | 967482035         | N      |             20267 | 2247              | SERVICIO DE SALUD |                 1 |

| 122415  | CORRAL-RUBIO                                          |      8902 |   21671 |     2 | AV DE LAS         | CORRAL-RUBIO      | 967286524         | N      |             20273 | 2693              | SERVICIO DE SALUD |                 1 |

| 122416  | LA HIGUERA                                            |      8902 |   21671 |     2 | -                 | LA HIGUERA        | -                 | N      |             20273 | 2693              | SERVICIO DE SALUD |                 1 |

| 122596  | ARROYOFRIO                                            |      8903 |   21686 |     2 | -                 | ARROYOFRIO        | -                 | N      |             20289 | 2462              | SERVICIO DE SALUD |                 1 |

| 122598  | COTILLAS                                              |      8903 |   21686 |     2 | C/ SAHUCO, Nº 2   | COTILLAS          | 967434176         | N      |             20289 | 2461              | SERVICIO DE SALUD |                 1 |

| 122425  | LA FELIPA                                             |      8882 |   21673 |     2 | C/ MARQUÉS DE LA  | LA FELIPA         | 967262048         | N      |             20292 | 02156             | SERVICIO DE SALUD |                 1 |

| 122494  | CHINCHILLA DE MONTEARAGON                             |      8882 |   23079 |     1 | CL SANTA ELENA Nº | CHINCHILLA DE     | 967260324         | N      |             20292 | 2520              | SERVICIO DE SALUD |                 1 |

| 122499  | VILLAR DE CHINCHILLA                                  |      8882 |   23079 |     2 | C/ ESCUELAS, S/N  | VILLAR DE         | 967288133         | N      |             20292 | 2695              | SERVICIO DE SALUD |                 1 |

| 127198  | ESTACIÓN CHINCHILLA                                   |      8882 |   23079 |     2 | CL JOSE ANTONIO,  | ESTACIÓN DE       | -                 | N      |             20292 | 02520             | SERVICIO DE SALUD |                 1 |

| 122500  | ELCHE DE LA SIERRA                                    |      8903 |   21677 |     1 | C/ JOSE ANTONIO   | ELCHE DE LA       | 967410782         | N      |             20306 | 2430              | SERVICIO DE SALUD |                 1 |

| 122510  | VICORTO                                               |      8903 |   21677 |     2 | CL CARRIL DEL     | VICORTO           | -                 | N      |             20306 | 02439             | SERVICIO DE SALUD |                 1 |

| 122511  | VILLARES                                              |      8903 |   21677 |     2 | CTRA. DE FÉREZ    | VILLARES          | -                 | N      |             20306 | 2439              | SERVICIO DE SALUD |                 1 |

| 127201  | PEÑARRUBIA                                            |      8903 |   21677 |     2 | CL SAN BERNABÉ,   | PEÑARRUBIA        | -                 | N      |             20306 | 02486             | SERVICIO DE SALUD |                 1 |

| 122603  | FÉREZ                                                 |      8903 |   21687 |     2 | AVDA. DE HIJAR,   | FÉREZ             | 967420196         | N      |             20313 | 2436              | SERVICIO DE SALUD |                 1 |

| 122525  | FUENSANTA                                             |      8882 |   21680 |     2 | PLAZA MAYOR, S/N  | FUENSANTA         | 967447819         | N      |             20328 | 2637              | SERVICIO DE SALUD |                 1 |

| 122592  | FUENTE-ÁLAMO                                          |      8903 |   21684 |     2 | CL JORGE JUAN, Nº | FUENTE-ÁLAMO      | 967321550         | N      |             20334 | 02651             | SERVICIO DE SALUD |                 1 |

| 122437  | BORMATE                                               |      8882 |   21674 |     2 | C/ LEBRIANES, Nº  | BORMATE           | -                 | N      |             20349 | 2249              | SERVICIO DE SALUD |                 1 |

| 122443  | FUENTEALBILLA                                         |      8882 |   21674 |     2 | C/ FUENTE GRANDE, | FUENTEALBILLA     | 967472018         | N      |             20349 | 2260              | SERVICIO DE SALUD |                 1 |

| 122526  | LA GINETA                                             |      8882 |   21680 |     2 | C/ GLORIETA, S/N  | LA GINETA         | 967275309         | N      |             20352 | 2110              | SERVICIO DE SALUD |                 1 |

| 122445  | GOLOSALVO                                             |      8882 |   21674 |     2 | C/ SAN JORGE, Nº  | GOLOSALVO         | -                 | N      |             20365 | 2253              | SERVICIO DE SALUD |                 1 |

| 122512  | HELLÍN 1                                              |      8903 |   21678 |     1 | CL JOSE GARCÍA,   | HELLÍN            | 967302116         | N      |             20371 | 2400              | SERVICIO DE SALUD |                 1 |

| 122513  | AGRAMON                                               |      8903 |   21678 |     2 | CL MURCIA, Nº 64  | AGRAMON           | 967320161         | N      |             20371 | 02490             | SERVICIO DE SALUD |                 1 |

| 122514  | CANCARIX                                              |      8903 |   21678 |     2 | C/ NUEVA S/N      | CANCARIX          | 967322869         | N      |             20371 | 2499              | SERVICIO DE SALUD |                 1 |

| 122515  | CAÑADA DE AGRA                                        |      8903 |   21678 |     2 | PLAZA DE LA       | CAÑADA DE AGRA    | 967542275         | N      |             20371 | 2409              | SERVICIO DE SALUD |                 1 |

| 122516  | LA HORCA                                              |      8903 |   21678 |     2 | CTRA. DE AGRAMON, | LA HORCA          | -                 | N      |             20371 | 02409             | SERVICIO DE SALUD |                 1 |

| 122517  | LAS MINAS                                             |      8903 |   21678 |     2 | CL MAYOR, S/N     | LAS MINAS         | -                 | N      |             20371 | 02499             | SERVICIO DE SALUD |                 1 |

| 122518  | MINATEDA                                              |      8903 |   21678 |     2 | CTRA. DE AGRAMON, | MINATEDA          | -                 | N      |             20371 | 02409             | SERVICIO DE SALUD |                 1 |

| 122519  | MINGOGIL                                              |      8903 |   21678 |     2 | PLAZA IGLESIA,    | MINGOGIL          | 967170117         | N      |             20371 | 2409              | SERVICIO DE SALUD |                 1 |

| 122520  | NAVA CAMPAÑA                                          |      8903 |   21678 |     2 | C/ MAYOR, S/N     | NAVA CAMPAÑA      | 967305184         | N      |             20371 | 2409              | SERVICIO DE SALUD |                 1 |

| 122521  | ISSO                                                  |      8903 |   21679 |     2 | CTRA. DE BOLOS,   | ISSO              | 967308716         | N      |             20371 | 2420              | SERVICIO DE SALUD |                 1 |

| 128290  | HELLÍN 2                                              |      8903 |   21679 |     1 | CL TURBAS DE      | HELLIN            | 967542406         | S      |             20371 | 2400              | SERVICIO DE SALUD |                 1 |

| 123641  | LA HERRERA                                            |      8882 |   21669 |     2 | C/ LA LIBERTAD,   | LA HERRERA        | 967362738         | N      |             20387 | 2162              | SERVICIO DE SALUD |                 1 |

| 122417  | HIGUERUELA                                            |      8902 |   21671 |     2 | CENTRO SANITARIO, | HIGUERUELA        | 967287024         | N      |             20390 | 2694              | SERVICIO DE SALUD |                 1 |

| 122496  | HOYA-GONZALO                                          |      8882 |   23079 |     2 | CL LARGA, Nº 50   | HOYA-GONZALO      | 967287666         | N      |             20404 | 02696             | SERVICIO DE SALUD |                 1 |

| 122424  | CUBAS                                                 |      8882 |   21673 |     2 | -                 | CUBAS             | -                 | N      |             20411 | 2249              | SERVICIO DE SALUD |                 1 |

| 122426  | JORQUERA                                              |      8882 |   21673 |     2 | PLAZA FUERZAS     | JORQUERA          | 967471241         | N      |             20411 | 02248             | SERVICIO DE SALUD |                 1 |

| 122427  | MALDONADO                                             |      8882 |   21673 |     2 | -                 | MALDONADO         | -                 | N      |             20411 | 2249              | SERVICIO DE SALUD |                 1 |

| 122601  | ABEJUELA                                              |      8903 |   21687 |     2 | C/ MAYOR, S/N     | ABEJUELA          | -                 | N      |             20426 | 2434              | SERVICIO DE SALUD |                 1 |

